Gender,Month,3rd,15th,85th,97th
F,133,14.1,15.3,20,23.3
F,134,14.1,15.4,20.1,23.4
F,135,14.2,15.4,20.2,23.5
F,136,14.2,15.5,20.3,23.6
F,137,14.2,15.5,20.4,23.7
F,138,14.3,15.6,20.4,23.8
F,139,14.3,15.6,20.5,23.9
F,140,14.4,15.7,20.6,24
F,141,14.4,15.7,20.7,24.1
F,142,14.5,15.8,20.8,24.2
F,143,14.5,15.8,20.8,24.3
F,144,14.6,15.9,20.9,24.4
F,145,14.6,15.9,21,24.5
F,146,14.7,16,21.1,24.6
F,147,14.7,16.1,21.2,24.7
F,148,14.7,16.1,21.3,24.8
F,149,14.8,16.2,21.3,24.9
F,150,14.8,16.2,21.4,25
F,151,14.9,16.3,21.5,25.1
F,152,14.9,16.3,21.6,25.2
F,153,15,16.4,21.7,25.3
F,154,15,16.4,21.8,25.4
F,155,15.1,16.5,21.8,25.5
F,156,15.1,16.5,21.9,25.6
F,157,15.2,16.6,22,25.7
F,158,15.2,16.7,22.1,25.8
F,159,15.3,16.7,22.2,25.9
F,160,15.3,16.8,22.3,26
F,161,15.3,16.8,22.3,26.1
F,162,15.4,16.9,22.4,26.1
F,163,15.4,16.9,22.5,26.2
F,164,15.5,17,22.6,26.3
F,165,15.5,17,22.6,26.4
F,166,15.6,17.1,22.7,26.5
F,167,15.6,17.1,22.8,26.6
F,168,15.6,17.2,22.9,26.7
F,169,15.7,17.2,22.9,26.8
F,170,15.7,17.3,23,26.8
F,171,15.8,17.3,23.1,26.9
F,172,15.8,17.4,23.2,27
F,173,15.8,17.4,23.2,27.1
F,174,15.9,17.4,23.3,27.1
F,175,15.9,17.5,23.4,27.2
F,176,15.9,17.5,23.4,27.3
F,177,16,17.6,23.5,27.4
F,178,16,17.6,23.5,27.4
F,179,16,17.6,23.6,27.5
F,180,16.1,17.7,23.7,27.6
F,181,16.1,17.7,23.7,27.6
F,182,16.1,17.8,23.8,27.7
F,183,16.2,17.8,23.8,27.7
F,184,16.2,17.8,23.9,27.8
F,185,16.2,17.9,23.9,27.9
F,186,16.2,17.9,24,27.9
F,187,16.3,17.9,24,28
F,188,16.3,18,24.1,28
F,189,16.3,18,24.1,28.1
F,190,16.3,18,24.2,28.1
F,191,16.4,18,24.2,28.2
F,192,16.4,18.1,24.2,28.2
F,193,16.4,18.1,24.3,28.2
F,194,16.4,18.1,24.3,28.3
F,195,16.4,18.1,24.4,28.3
F,196,16.5,18.2,24.4,28.4
F,197,16.5,18.2,24.4,28.4
F,198,16.5,18.2,24.5,28.4
F,199,16.5,18.2,24.5,28.5
F,200,16.5,18.3,24.5,28.5
F,201,16.5,18.3,24.6,28.5
F,202,16.6,18.3,24.6,28.6
F,203,16.6,18.3,24.6,28.6
F,204,16.6,18.3,24.7,28.6
F,205,16.6,18.3,24.7,28.6
F,206,16.6,18.4,24.7,28.7
F,207,16.6,18.4,24.7,28.7
F,208,16.6,18.4,24.8,28.7
F,209,16.6,18.4,24.8,28.7
F,210,16.6,18.4,24.8,28.8
F,211,16.6,18.4,24.8,28.8
F,212,16.7,18.4,24.8,28.8
F,213,16.7,18.5,24.9,28.8
F,214,16.7,18.5,24.9,28.8
F,215,16.7,18.5,24.9,28.9
F,216,16.7,18.5,24.9,28.9
F,217,16.7,18.5,24.9,28.9
F,218,16.7,18.5,25,28.9
F,219,16.7,18.5,25,28.9
F,220,16.7,18.5,25,28.9
F,221,16.7,18.5,25,28.9
F,222,16.7,18.5,25,29
F,223,16.7,18.6,25,29
F,224,16.7,18.6,25.1,29
F,225,16.7,18.6,25.1,29
F,226,16.7,18.6,25.1,29
F,227,16.7,18.6,25.1,29
F,228,16.7,18.6,25.1,29
M,0,11.3,12.2,14.8,16.1
M,1,12.6,13.6,16.4,17.6
M,2,13.8,14.9,17.8,19.2
M,3,14.4,15.5,18.5,19.8
M,4,14.7,15.7,18.7,20.1
M,5,14.8,15.9,18.9,20.2
M,6,14.9,15.9,18.9,20.3
M,7,14.9,15.9,18.9,20.3
M,8,14.9,15.9,18.8,20.2
M,9,14.8,15.8,18.7,20.1
M,10,14.7,15.7,18.6,19.9
M,11,14.6,15.6,18.4,19.8
M,12,14.5,15.5,18.3,19.6
M,13,14.4,15.4,18.1,19.5
M,14,14.3,15.3,18,19.3
M,15,14.2,15.2,17.9,19.2
M,16,14.2,15.1,17.8,19.1
M,17,14.1,15,17.6,18.9
M,18,14,14.9,17.5,18.8
M,19,13.9,14.8,17.4,18.7
M,20,13.9,14.8,17.4,18.6
M,21,13.8,14.7,17.3,18.6
M,22,13.8,14.6,17.2,18.5
M,23,13.7,14.6,17.1,18.4
M,24,13.7,14.5,17.1,18.3
M,25,13.9,14.8,17.4,18.6
M,26,13.8,14.7,17.3,18.6
M,27,13.8,14.7,17.3,18.5
M,28,13.8,14.7,17.2,18.5
M,29,13.7,14.6,17.2,18.4
M,30,13.7,14.6,17.2,18.4
M,31,13.7,14.5,17.1,18.4
M,32,13.6,14.5,17.1,18.3
M,33,13.6,14.5,17,18.3
M,34,13.5,14.4,17,18.2
M,35,13.5,14.4,17,18.2
M,36,13.5,14.4,17,18.2
M,37,13.5,14.4,16.9,18.1
M,38,13.4,14.3,16.9,18.1
M,39,13.4,14.3,16.9,18.1
M,40,13.4,14.3,16.8,18.1
M,41,13.3,14.2,16.8,18
M,42,13.3,14.2,16.8,18
M,43,13.3,14.2,16.8,18
M,44,13.3,14.2,16.8,18
M,45,13.2,14.2,16.8,18
M,46,13.2,14.1,16.7,18
M,47,13.2,14.1,16.7,18
M,48,13.2,14.1,16.7,18
M,49,13.2,14.1,16.7,18
M,50,13.2,14.1,16.7,18
M,51,13.1,14,16.7,18
M,52,13.1,14,16.7,18
M,53,13.1,14,16.7,18
M,54,13.1,14,16.7,18
M,55,13.1,14,16.7,18
M,56,13.1,14,16.7,18
M,57,13,14,16.7,18
M,58,13,13.9,16.7,18
M,59,13,13.9,16.7,18.1
M,60,13,13.9,16.7,18.1
M,61,13.1,14,16.7,18.1
M,62,13.1,14,16.7,18.1
M,63,13.1,14,16.7,18.1
M,64,13.1,14,16.7,18.1
M,65,13.1,14,16.7,18.1
M,66,13.1,14,16.7,18.1
M,67,13.1,14,16.7,18.2
M,68,13.1,14,16.8,18.2
M,69,13.1,14,16.8,18.2
M,70,13.1,14,16.8,18.2
M,71,13.2,14,16.8,18.3
M,72,13.2,14,16.8,18.3
M,73,13.2,14,16.8,18.3
M,74,13.2,14.1,16.9,18.4
M,75,13.2,14.1,16.9,18.4
M,76,13.2,14.1,16.9,18.4
M,77,13.2,14.1,16.9,18.5
M,78,13.2,14.1,16.9,18.5
M,79,13.2,14.1,17,18.5
M,80,13.2,14.1,17,18.6
M,81,13.2,14.1,17,18.6
M,82,13.2,14.1,17.1,18.7
M,83,13.3,14.2,17.1,18.7
M,84,13.3,14.2,17.1,18.8
M,85,13.3,14.2,17.1,18.8
M,86,13.3,14.2,17.2,18.8
M,87,13.3,14.2,17.2,18.9
M,88,13.3,14.2,17.2,18.9
M,89,13.3,14.2,17.3,19
M,90,13.3,14.3,17.3,19
M,91,13.4,14.3,17.3,19.1
M,92,13.4,14.3,17.4,19.2
M,93,13.4,14.3,17.4,19.2
M,94,13.4,14.3,17.4,19.3
M,95,13.4,14.3,17.5,19.3
M,96,13.4,14.4,17.5,19.4
M,97,13.4,14.4,17.5,19.4
M,98,13.5,14.4,17.6,19.5
M,99,13.5,14.4,17.6,19.5
M,100,13.5,14.4,17.7,19.6
M,101,13.5,14.4,17.7,19.7
M,102,13.5,14.5,17.7,19.7
M,103,13.5,14.5,17.8,19.8
M,104,13.5,14.5,17.8,19.9
M,105,13.6,14.5,17.9,19.9
M,106,13.6,14.5,17.9,20
M,107,13.6,14.6,17.9,20
M,108,13.6,14.6,18,20.1
M,109,13.6,14.6,18,20.2
M,110,13.7,14.6,18.1,20.2
M,111,13.7,14.6,18.1,20.3
M,112,13.7,14.7,18.2,20.4
M,113,13.7,14.7,18.2,20.5
M,114,13.7,14.7,18.3,20.5
M,115,13.8,14.7,18.3,20.6
M,116,13.8,14.8,18.4,20.7
M,117,13.8,14.8,18.4,20.8
M,118,13.8,14.8,18.5,20.8
M,119,13.8,14.8,18.5,20.9
M,120,13.9,14.9,18.6,21
M,121,13.9,14.9,18.6,21.1
M,122,13.9,14.9,18.7,21.1
M,123,13.9,15,18.7,21.2
M,124,14,15,18.8,21.3
M,125,14,15,18.8,21.4
M,126,14,15.1,18.9,21.5
M,127,14,15.1,19,21.6
M,128,14.1,15.1,19,21.6
M,129,14.1,15.2,19.1,21.7
M,130,14.1,15.2,19.1,21.8
M,131,14.2,15.2,19.2,21.9
M,132,14.2,15.3,19.3,22
M,133,14.2,15.3,19.3,22.1
M,134,14.3,15.3,19.4,22.2
M,135,14.3,15.4,19.4,22.2
M,136,14.3,15.4,19.5,22.3
M,137,14.4,15.4,19.6,22.4
M,138,14.4,15.5,19.6,22.5
M,139,14.4,15.5,19.7,22.6
M,140,14.5,15.6,19.8,22.7
M,141,14.5,15.6,19.8,22.8
M,142,14.5,15.6,19.9,22.9
M,143,14.6,15.7,20,23
M,144,14.6,15.7,20.1,23.1
M,145,14.6,15.8,20.1,23.1
M,146,14.7,15.8,20.2,23.2
M,147,14.7,15.9,20.3,23.3
M,148,14.8,15.9,20.3,23.4
M,149,14.8,16,20.4,23.5
M,150,14.8,16,20.5,23.6
M,151,14.9,16.1,20.6,23.7
M,152,14.9,16.1,20.6,23.8
M,153,15,16.2,20.7,23.9
M,154,15,16.2,20.8,24
M,155,15,16.3,20.9,24.1
M,156,15.1,16.3,20.9,24.2
M,157,15.1,16.4,21,24.3
M,158,15.2,16.4,21.1,24.4
M,159,15.2,16.5,21.2,24.5
M,160,15.3,16.5,21.3,24.6
M,161,15.3,16.6,21.3,24.7
M,162,15.4,16.6,21.4,24.8
M,163,15.4,16.7,21.5,24.9
M,164,15.5,16.7,21.6,24.9
M,165,15.5,16.8,21.7,25
M,166,15.5,16.8,21.7,25.1
M,167,15.6,16.9,21.8,25.2
M,168,15.6,16.9,21.9,25.3
M,169,15.7,17,22,25.4
M,170,15.7,17,22,25.5
M,171,15.8,17.1,22.1,25.6
M,172,15.8,17.2,22.2,25.7
M,173,15.9,17.2,22.3,25.8
M,174,15.9,17.3,22.4,25.8
M,175,16,17.3,22.4,25.9
M,176,16,17.4,22.5,26
M,177,16.1,17.4,22.6,26.1
M,178,16.1,17.5,22.7,26.2
M,179,16.1,17.5,22.7,26.3
M,180,16.2,17.6,22.8,26.4
M,181,16.2,17.6,22.9,26.4
M,182,16.3,17.7,23,26.5
M,183,16.3,17.7,23,26.6
M,184,16.4,17.8,23.1,26.7
M,185,16.4,17.8,23.2,26.7
M,186,16.4,17.9,23.2,26.8
M,187,16.5,17.9,23.3,26.9
M,188,16.5,18,23.4,27
M,189,16.6,18,23.5,27
M,190,16.6,18.1,23.5,27.1
M,191,16.7,18.1,23.6,27.2
M,192,16.7,18.2,23.7,27.3
M,193,16.7,18.2,23.7,27.3
M,194,16.8,18.3,23.8,27.4
M,195,16.8,18.3,23.9,27.5
M,196,16.8,18.4,23.9,27.5
M,197,16.9,18.4,24,27.6
M,198,16.9,18.5,24,27.7
M,199,17,18.5,24.1,27.7
M,200,17,18.5,24.2,27.8
M,201,17,18.6,24.2,27.8
M,202,17.1,18.6,24.3,27.9
M,203,17.1,18.7,24.3,28
M,204,17.1,18.7,24.4,28
M,205,17.2,18.7,24.5,28.1
M,206,17.2,18.8,24.5,28.1
M,207,17.2,18.8,24.6,28.2
M,208,17.3,18.9,24.6,28.2
M,209,17.3,18.9,24.7,28.3
M,210,17.3,18.9,24.7,28.4
M,211,17.4,19,24.8,28.4
M,212,17.4,19,24.8,28.5
M,213,17.4,19.1,24.9,28.5
M,214,17.4,19.1,24.9,28.6
M,215,17.5,19.1,25,28.6
M,216,17.5,19.2,25,28.6
M,217,17.5,19.2,25.1,28.7
M,218,17.5,19.2,25.1,28.7
M,219,17.6,19.3,25.2,28.8
M,220,17.6,19.3,25.2,28.8
M,221,17.6,19.3,25.3,28.9
M,222,17.6,19.4,25.3,28.9
M,223,17.7,19.4,25.4,29
M,224,17.7,19.4,25.4,29
M,225,17.7,19.5,25.5,29
M,226,17.7,19.5,25.5,29.1
M,227,17.8,19.5,25.5,29.1
M,228,17.8,19.5,25.6,29.1
O,0,11.3,12.2,14.8,16.1
O,1,12.6,13.6,16.4,17.6
O,2,13.8,14.9,17.8,19.2
O,3,14.4,15.5,18.5,19.8
O,4,14.7,15.7,18.7,20.1
O,5,14.8,15.9,18.9,20.2
O,6,14.9,15.9,18.9,20.3
O,7,14.9,15.9,18.9,20.3
O,8,14.9,15.9,18.8,20.2
O,9,14.8,15.8,18.7,20.1
O,10,14.7,15.7,18.6,19.9
O,11,14.6,15.6,18.4,19.8
O,12,14.5,15.5,18.3,19.6
O,13,14.4,15.4,18.1,19.5
O,14,14.3,15.3,18,19.3
O,15,14.2,15.2,17.9,19.2
O,16,14.2,15.1,17.8,19.1
O,17,14.1,15,17.6,18.9
O,18,14,14.9,17.5,18.8
O,19,13.9,14.8,17.4,18.7
O,20,13.9,14.8,17.4,18.6
O,21,13.8,14.7,17.3,18.6
O,22,13.8,14.6,17.2,18.5
O,23,13.7,14.6,17.1,18.4
O,24,13.7,14.5,17.1,18.3
O,25,13.9,14.8,17.4,18.6
O,26,13.8,14.7,17.3,18.6
O,27,13.8,14.7,17.3,18.5
O,28,13.8,14.7,17.2,18.5
O,29,13.7,14.6,17.2,18.4
O,30,13.7,14.6,17.2,18.4
O,31,13.7,14.5,17.1,18.4
O,32,13.6,14.5,17.1,18.3
O,33,13.6,14.5,17,18.3
O,34,13.5,14.4,17,18.2
O,35,13.5,14.4,17,18.2
O,36,13.5,14.4,17,18.2
O,37,13.5,14.4,16.9,18.1
O,38,13.4,14.3,16.9,18.1
O,39,13.4,14.3,16.9,18.1
O,40,13.4,14.3,16.8,18.1
O,41,13.3,14.2,16.8,18
O,42,13.3,14.2,16.8,18
O,43,13.3,14.2,16.8,18
O,44,13.3,14.2,16.8,18
O,45,13.2,14.2,16.8,18
O,46,13.2,14.1,16.7,18
O,47,13.2,14.1,16.7,18
O,48,13.2,14.1,16.7,18
O,49,13.2,14.1,16.7,18
O,50,13.2,14.1,16.7,18
O,51,13.1,14,16.7,18
O,52,13.1,14,16.7,18
O,53,13.1,14,16.7,18
O,54,13.1,14,16.7,18
O,55,13.1,14,16.7,18
O,56,13.1,14,16.7,18
O,57,13,14,16.7,18
O,58,13,13.9,16.7,18
O,59,13,13.9,16.7,18.1
O,60,13,13.9,16.7,18.1
O,61,13.1,14,16.7,18.1
O,62,13.1,14,16.7,18.1
O,63,13.1,14,16.7,18.1
O,64,13.1,14,16.7,18.1
O,65,13.1,14,16.7,18.1
O,66,13.1,14,16.7,18.1
O,67,13.1,14,16.7,18.2
O,68,13.1,14,16.8,18.2
O,69,13.1,14,16.8,18.2
O,70,13.1,14,16.8,18.2
O,71,13.2,14,16.8,18.3
O,72,13.2,14,16.8,18.3
O,73,13.2,14,16.8,18.3
O,74,13.2,14.1,16.9,18.4
O,75,13.2,14.1,16.9,18.4
O,76,13.2,14.1,16.9,18.4
O,77,13.2,14.1,16.9,18.5
O,78,13.2,14.1,16.9,18.5
O,79,13.2,14.1,17,18.5
O,80,13.2,14.1,17,18.6
O,81,13.2,14.1,17,18.6
O,82,13.2,14.1,17.1,18.7
O,83,13.3,14.2,17.1,18.7
O,84,13.3,14.2,17.1,18.8
O,85,13.3,14.2,17.1,18.8
O,86,13.3,14.2,17.2,18.8
O,87,13.3,14.2,17.2,18.9
O,88,13.3,14.2,17.2,18.9
O,89,13.3,14.2,17.3,19
O,90,13.3,14.3,17.3,19
O,91,13.4,14.3,17.3,19.1
O,92,13.4,14.3,17.4,19.2
O,93,13.4,14.3,17.4,19.2
O,94,13.4,14.3,17.4,19.3
O,95,13.4,14.3,17.5,19.3
O,96,13.4,14.4,17.5,19.4
O,97,13.4,14.4,17.5,19.4
O,98,13.5,14.4,17.6,19.5
O,99,13.5,14.4,17.6,19.5
O,100,13.5,14.4,17.7,19.6
O,101,13.5,14.4,17.7,19.7
O,102,13.5,14.5,17.7,19.7
O,103,13.5,14.5,17.8,19.8
O,104,13.5,14.5,17.8,19.9
O,105,13.6,14.5,17.9,19.9
O,106,13.6,14.5,17.9,20
O,107,13.6,14.6,17.9,20
O,108,13.6,14.6,18,20.1
O,109,13.6,14.6,18,20.2
O,110,13.7,14.6,18.1,20.2
O,111,13.7,14.6,18.1,20.3
O,112,13.7,14.7,18.2,20.4
O,113,13.7,14.7,18.2,20.5
O,114,13.7,14.7,18.3,20.5
O,115,13.8,14.7,18.3,20.6
O,116,13.8,14.8,18.4,20.7
O,117,13.8,14.8,18.4,20.8
O,118,13.8,14.8,18.5,20.8
O,119,13.8,14.8,18.5,20.9
O,120,13.9,14.9,18.6,21
O,121,13.9,14.9,18.6,21.1
O,122,13.9,14.9,18.7,21.1
O,123,13.9,15,18.7,21.2
O,124,14,15,18.8,21.3
O,125,14,15,18.8,21.4
O,126,14,15.1,18.9,21.5
O,127,14,15.1,19,21.6
O,128,14.1,15.1,19,21.6
O,129,14.1,15.2,19.1,21.7
O,130,14.1,15.2,19.1,21.8
O,131,14.2,15.2,19.2,21.9
O,132,14.2,15.3,19.3,22
O,133,14.2,15.3,19.3,22.1
O,134,14.3,15.3,19.4,22.2
O,135,14.3,15.4,19.4,22.2
O,136,14.3,15.4,19.5,22.3
O,137,14.4,15.4,19.6,22.4
O,138,14.4,15.5,19.6,22.5
O,139,14.4,15.5,19.7,22.6
O,140,14.5,15.6,19.8,22.7
O,141,14.5,15.6,19.8,22.8
O,142,14.5,15.6,19.9,22.9
O,143,14.6,15.7,20,23
O,144,14.6,15.7,20.1,23.1
O,145,14.6,15.8,20.1,23.1
O,146,14.7,15.8,20.2,23.2
O,147,14.7,15.9,20.3,23.3
O,148,14.8,15.9,20.3,23.4
O,149,14.8,16,20.4,23.5
O,150,14.8,16,20.5,23.6
O,151,14.9,16.1,20.6,23.7
O,152,14.9,16.1,20.6,23.8
O,153,15,16.2,20.7,23.9
O,154,15,16.2,20.8,24
O,155,15,16.3,20.9,24.1
O,156,15.1,16.3,20.9,24.2
O,157,15.1,16.4,21,24.3
O,158,15.2,16.4,21.1,24.4
O,159,15.2,16.5,21.2,24.5
O,160,15.3,16.5,21.3,24.6
O,161,15.3,16.6,21.3,24.7
O,162,15.4,16.6,21.4,24.8
O,163,15.4,16.7,21.5,24.9
O,164,15.5,16.7,21.6,24.9
O,165,15.5,16.8,21.7,25
O,166,15.5,16.8,21.7,25.1
O,167,15.6,16.9,21.8,25.2
O,168,15.6,16.9,21.9,25.3
O,169,15.7,17,22,25.4
O,170,15.7,17,22,25.5
O,171,15.8,17.1,22.1,25.6
O,172,15.8,17.2,22.2,25.7
O,173,15.9,17.2,22.3,25.8
O,174,15.9,17.3,22.4,25.8
O,175,16,17.3,22.4,25.9
O,176,16,17.4,22.5,26
O,177,16.1,17.4,22.6,26.1
O,178,16.1,17.5,22.7,26.2
O,179,16.1,17.5,22.7,26.3
O,180,16.2,17.6,22.8,26.4
O,181,16.2,17.6,22.9,26.4
O,182,16.3,17.7,23,26.5
O,183,16.3,17.7,23,26.6
O,184,16.4,17.8,23.1,26.7
O,185,16.4,17.8,23.2,26.7
O,186,16.4,17.9,23.2,26.8
O,187,16.5,17.9,23.3,26.9
O,188,16.5,18,23.4,27
O,189,16.6,18,23.5,27
O,190,16.6,18.1,23.5,27.1
O,191,16.7,18.1,23.6,27.2
O,192,16.7,18.2,23.7,27.3
O,193,16.7,18.2,23.7,27.3
O,194,16.8,18.3,23.8,27.4
O,195,16.8,18.3,23.9,27.5
O,196,16.8,18.4,23.9,27.5
O,197,16.9,18.4,24,27.6
O,198,16.9,18.5,24,27.7
O,199,17,18.5,24.1,27.7
O,200,17,18.5,24.2,27.8
O,201,17,18.6,24.2,27.8
O,202,17.1,18.6,24.3,27.9
O,203,17.1,18.7,24.3,28
O,204,17.1,18.7,24.4,28
O,205,17.2,18.7,24.5,28.1
O,206,17.2,18.8,24.5,28.1
O,207,17.2,18.8,24.6,28.2
O,208,17.3,18.9,24.6,28.2
O,209,17.3,18.9,24.7,28.3
O,210,17.3,18.9,24.7,28.4
O,211,17.4,19,24.8,28.4
O,212,17.4,19,24.8,28.5
O,213,17.4,19.1,24.9,28.5
O,214,17.4,19.1,24.9,28.6
O,215,17.5,19.1,25,28.6
O,216,17.5,19.2,25,28.6
O,217,17.5,19.2,25.1,28.7
O,218,17.5,19.2,25.1,28.7
O,219,17.6,19.3,25.2,28.8
O,220,17.6,19.3,25.2,28.8
O,221,17.6,19.3,25.3,28.9
O,222,17.6,19.4,25.3,28.9
O,223,17.7,19.4,25.4,29
O,224,17.7,19.4,25.4,29
O,225,17.7,19.5,25.5,29
O,226,17.7,19.5,25.5,29.1
O,227,17.8,19.5,25.5,29.1
O,228,17.8,19.5,25.6,29.1
