Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9bb0795c-4ff0-0305-1990-000000000019,,,Last eye exam date,Last eye exam date,,,,,Misc,Date,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000020,,,Temperature,Temperature,Patient's temperature in Fahrenheit,,,,Misc,Numeric,,,,Yes,F,95.0,99.6,,,,
9bb0795c-4ff0-0305-1990-000000000021,,,Registration Fee,Registration Fee,,,,,Misc,Numeric,,,,TRUE,,,,,,,
9bb0795c-4ff0-0305-1990-000000000022,,,Doctor Name,Doctor Name,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000023,,,Consultation Fee,Consultation Fee,,,,,Misc,Numeric,,,,TRUE,,,,,,,
9bb0795c-4ff0-0305-1990-000000000024,,,"Hypertension, Hypertensive Emergency 12 Months",Hypertensive Emergency or Cardiac Hospitalization in 12 Months,,,,,Misc,Boolean,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000025,,,"Hypertension, Hypertensive Emergency Cause",Hypertensive Emergency or Cardiac Hospitalization For,,,,,Misc,Coded,,Hypertension;Congestive Heart Failure;Myocardial infarction;Chest Pain,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000026,,,Last serum creatinine date,,,,,,Misc,Date,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000027,,,Last LDL date,,,,,,Misc,Date,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000028,,,BMI Status,BMI Status,,,,,Finding,Coded,,Cachexia;Malnutrition of moderate degree (Gomez: 60% to Less than 75% of Standard Weight);Malnutrition of mild degree (Gomez: 75% to Less than 90% of Standard Weight);Normal;Overweight (BMI 25.0-29.9);Obesity;Morbid Obesity,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000029,,,Consultation Videos,,,,,,Misc,N/A,,,Patient Video,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000030,,,Cephalic,Cephalic,,,,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000031,,,Breech,Breech,,,,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000032,,,Transverse,Transverse,,,,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000033,,,P/A Presenting Part,P/A Presenting Part,,,,,Misc,Coded,,Cephalic;Breech;Transverse,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000038,,,Treatment plan,,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000039,,,Rest duration,,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000040,,,Comments,Comments,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000041,,,Referring to Hospital,Referring to Hospital,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000042,,,Referred to,Referred to,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000043,,,Relevant clinical history,Relevant clinical history,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000044,,,Treatment provided,Treatment provided,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000045,,,Referred to Doctor,Referred to Doctor,,,,,Misc,Text,,,,,,,,,,,
631f9e92-b15f-41da-a6ba-4f4cd67f36b7,,,Blood Pressure,Blood Pressure,,,,,Misc,N/A,,,Systolic blood pressure;Diastolic blood pressure;Body position;,,,,,,,,
da47a35d-5806-48b7-b467-e29902759491,,,Chief Complaint Record,Chief Complaint Record,,,,,Misc,N/A,,,Chief Complaint Coded;Chief complaint (text);Sign/symptom duration;Chief Complaint Duration;,,,,,,,,
