Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Absolute low,Normal low,Normal high,_version:1,_order:1000
620f34d7-5d4c-4ace-81c1-31965dae539b,,CIEL:73193,Varicella Vaccination,VAR (Varicella Vaccination),Vaccination contre la varicelle,VAR (Vaccination contre la varicelle),Procedure,N/A,,,,,,,,,,
aa7ea414-6f23-47cb-85d9-8e342d56b846,,,Tetanus Diphtheria acellular Pertussis Vaccination,Tdap (Tetanus Diphtheria acellular Pertussis Vaccination),Vaccination tétanos diphtérie acellulaire coqueluche,Tdap (Vaccination tétanos diphtérie acellulaire coqueluche),Procedure,N/A,,,,,,,,,,
3afaa3ce-0dbe-4ac8-964a-1913ee930d34,,CIEL:17,Diphtheria Tetanus Vaccination,DT (Diphtheria Tetanus Vaccination),Vaccination diphtérique tétanique,dT (Vaccination diphtérique tétanique),Procedure,N/A,,,,,,,,,,
0a28eec8-0353-415f-9eee-6f47ff67f4ce,,CIEL:162586,Measles Rubella Vaccination,MR (Measles Rubella Vaccination),Vaccination rubéole rougeole,RR (Vaccination rubéole rougeole),Procedure,N/A,,,,,,,,,,
d5b69086-c2b0-4ef7-8a75-a5f5ead221fc,,CIEL:159701,Measles Mumps Rubella Vaccination,MMR (Measles Mumps Rubella Vaccination),Vaccination rougeole rubéole orreillons,ROR (Vaccination rougeole rubéole orreillons),Procedure,N/A,,,,,,,,,,
7b34a0c2-a88b-4409-b654-d723e70eccd0,,CIEL:159704,Chickenpox Vaccination,VZV (Chickenpox Vaccination),Vaccination varicelle,VZV (Vaccination varicelle),Procedure,N/A,,,,,,,,,,
5358e6bf-dcef-46aa-a6af-9d5be7f74d0f,,,Typhim Vi Vaccination,Typhim Vi Vaccination,Typhim Vi Vaccination,Typhim Vi Vaccination,Procedure,N/A,,,,,,,,,,
9b64334c-bba6-49e7-91ca-950aa3c2098f,,CIEL:77423,Hepatitis A Vaccination,HepA (Hepatitis A Vaccination),Vaccination hépatite A,Hép A (Vaccination hépatite A),Procedure,N/A,,,,,,,,,,
0146bbd0-0128-4c7d-9bbb-d353c80c03f2,,CIEL:159708,Human Papillomavirus Vaccination,HPV (Human Papillomavirus Vaccination),Vaccination papillomavirus humain,HPV (Vaccination papillomavirus humain),Procedure,N/A,,,,,,,,,,
ebcc1391-8d2c-4e4d-b879-c24e89e94130,,CIEL:159900,Meningococcal Vaccination,MenACWY (Meningococcal Vaccination),Vaccination infections invasives à méningocoque,MenACWY (Vaccination infections invasives à méningocoque),Procedure,N/A,,,,,,,,,,
63916e88-4d0e-4bce-8cee-b9f9d29b0a4c,,CIEL:79554,Meningococcal B Vaccination,MenB (Meningococcal B Vaccination),Vaccination contre le méningocoque B,MenB (Vaccination contre le méningocoque B),Procedure,N/A,,,,,,,,,,
b4c138d6-1ab9-4a0c-9b9d-f46181fafeca,,CIEL:77428,Hepatitis B Vaccination,HepB (Hepatitis B Vaccination),Vaccination hépatite B,Hép B (Vaccination hépatite B),Procedure,N/A,,,,,,,,,,
87acf428-7c02-42e9-ab61-84677e543afd,,,Influenza Virus (Inactivated) Vaccination,IIV (Influenza Virus (Inactivated) Vaccination),Vaccination antigrippal (inactivé),IIV (Vaccination antigrippal (inactivé)),Procedure,N/A,,,,,,,,,,
35508f80-50b3-4c7d-b7fe-b0247d75c9ee,,,Influenza Virus (Attenuated) Vaccination,LAIV (Influenza Virus (Attenuated) Vaccination),Vaccination antigrippal (atténué),LAIV (Vaccination antigrippal (atténué)),Procedure,N/A,,,,,,,,,,
fb806db1-e55d-4c4c-897c-478dd8822c0e,,CIEL:5261,Haemophilus Influenzae B Vaccination,Hib (Haemophilus Influenzae B Vaccination),Vaccination haemophilus influenzae B,Hib (Vaccination haemophilus influenzae B),Procedure,N/A,,,,,,,,,,
3c25e650-ccfa-48da-b276-a7872796b113,,CIEL:984,Vaccinations,Vaccinations,Vaccinations,Vaccinations,Question,Coded,,Vaccination BCG;Vaccination Covid 19;Vaccination polio oral;Vaccination antipoliomyélitique inactivé;Vaccination rotavirus;Pentavalent vaccination;Vaccination pneumocoque;Vaccination polysaccharide antipneumococcique;Vaccination diphtérique tétanique coquelucheux;Vaccination contre la diphtérie tétanos acellulaire contre la coqueluche;Typhim Vi Vaccination,,,,,,,,
70bc9209-2b6e-4e17-9c4d-58923d3ac49e,,,Booster,Booster,Booster,Booster,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,
31819490-ae2f-4bb2-ab30-522f93baa0d1,,CIEL:1410,Vaccination date,Vaccination date,Date de vaccination,Date de vaccination,Finding,Date,,,,,,,,,,
1f4109b3-b201-46df-a341-dcfa5299a187,,CIEL:1418,Vaccination sequence number,Vaccination sequence number,Numéro de vaccinations,Numéro de vaccinations,Finding,Numeric,,,,FALSE,,1,,,,
39741bfe-36a0-4a5b-9c64-fd4caaadca01,,,User-entered sequence number,Sequence number,Numéro de séquence saisi par l'utilisateur,Numéro de séquence,Finding,Numeric,,,,FALSE,,1,,,,
602ea0c3-c5ce-4ddd-87a5-a5135bb3cb08,,CIEL:1419,Vaccine Manufacturer,Vaccine Manufacturer,Fabricant du vaccin,Fabricant du vaccin,Finding,Text,,,,,,,,,,
051ef90b-3d76-4328-86c2-b6a433a200b1,,CIEL:1420,Vaccine Lot Number,Vaccine Lot Number,Numéro du lot du vaccin,Numéro du lot du vaccin,Finding,Text,,,,,,,,,,
83189d40-6746-4bb6-a987-9afd4a766690,,CIEL:165907,Vaccine lot expiration date,Vaccine lot expiration date,Date de péremption du vaccin,Date de péremption du vaccin,Finding,Date,,,,,,,,,,
beab4061-e63d-498a-ac08-a19ced63d074,,CIEL:166011,Immunization non-coded,Immunization non-coded,Immunization non-coded,Immunization non-coded,Question,Text,,,,,,,,,,
38c6fbba-9185-4b80-9bd7-fa46052c22db,,CIEL:163100,Procedure received by patient,Procedure received by patient,Procédure reçue par le patient,Procédure reçue par le patient,Question,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,
ee938d18-fa98-43e3-809f-61aa29726a46,,CIEL:1421,Vaccination History,Vaccination History,Historique vaccinal,Historique vaccinal,ConvSet,N/A,,,Vaccinations; Numéro de séquence saisi par l'utilisateur;Booster; Numéro de vaccinations; Date de vaccination; Fabricant du vaccin; Numéro du lot du vaccin; Date de péremption du vaccin,,,,,,,
