Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1000,
110771AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:D48.1,Stromal tumor of digestive system (D48.1),Tumeur stromale gastro-intestinale (D48.1),Stromal tumor of digestive system,Tumeur stromale gastro-intestinale,,,Diagnosis,N/A,,,,,
110807AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S02.1,Fracture of Base of Skull (S02.1),Fracture de la base du crane (S02.1),Fracture of Base of Skull,Fracture de la base du crane,,,Diagnosis,N/A,,,,,
111103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:I64,Cerebrovascular Accident (I64),Accident vasculaire cerebral (I64),Cerebrovascular Accident,Accident vasculaire cerebral,,,Diagnosis,N/A,,,,,
111459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L80,Vitiligo (L80),Vitiligo (L80),Vitiligo,Vitiligo,,,Diagnosis,N/A,,,,,
111523AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P07.2,"Extreme prematurity, < 28 weeks gestation (P07.2)","Prematurite extreme, < 28 semaines (P07.2)","Extreme prematurity, < 28 weeks gestation","Prematurite extreme, < 28 semaines",,,Diagnosis,N/A,,,,,
111588AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:N81.5,Vaginal Enterocele (N81.5),Enterocele vaginale (N81.5),Vaginal Enterocele,Enterocele vaginale,,,Diagnosis,N/A,,,,,
111616AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:N85.5,Uterine Inversion (N85.5),Inversion de l'uterus (N85.5),Uterine Inversion,Inversion de l'uterus,,,Diagnosis,N/A,,,,,
111628AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:N20.9,Urinary calculus (N20.9),Pyelonephrite avec lithiase (N20.9),Urinary calculus,Pyelonephrite avec lithiase,,,Diagnosis,N/A,,,,,
111662AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M15.9,Polyarthropathy or Polyarthritis (M15.9),Polyarthrose (M15.9),Polyarthropathy or Polyarthritis,Polyarthrose,,,Diagnosis,N/A,,,,,
111705AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O69.9,Umbilical Cord Complication During Labor and Delivery (O69.9),Travail et accouchement compliques d'anomalies du cordon ombilical (O69.9),Umbilical Cord Complication During Labor and Delivery,Travail et accouchement compliques d'anomalies du cordon ombilical,,,Diagnosis,N/A,,,,,
111772AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O30.0,Twin Pregnancy (O30.0),"Grossesse multiple, jumeaux (O30.0)",Twin Pregnancy,"Grossesse multiple, jumeaux",,,Diagnosis,N/A,,,,,
11180d8f-1628-4ea7-9fcc-ea80726d3829,,ICD-10:I42.0,Dilated cardiomyopathy (I42.0),Myocardiopathie avec dilatation (I42.0),Dilated cardiomyopathy,Myocardiopathie avec dilatation,,,Diagnosis,N/A,,,,,
111939AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A18.4,Tuberculosis of skin and subcutaneous tissue (A18.4),Tuberculose de la peau et du tissu cellulaire sous-cutane (A18.4),Tuberculosis of skin and subcutaneous tissue,Tuberculose de la peau et du tissu cellulaire sous-cutane,,,Diagnosis,N/A,,,,,
111967AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A17.0,Tuberculous Meningitis (A17.0),Meningite tuberculeuse (A17.0),Tuberculous Meningitis,Meningite tuberculeuse,,,Diagnosis,N/A,,,,,
112030AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A18.3,Tuberculosis of the peritonium (A18.3),Tuberculose du peritoine (A18.3),Tuberculosis of the peritonium,Tuberculose du peritoine,,,Diagnosis,N/A,,,,,
112094AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A17.9,Tuberculosis Of Central Nervous System (A17.9),Tuberculose du systeme nerveux (A17.9),Tuberculosis Of Central Nervous System,Tuberculose du systeme nerveux,,,Diagnosis,N/A,,,,,
112115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A18.0,Tuberculosis of bones and joints (A18.0),Tuberculose des os et des articulations (A18.0),Tuberculosis of bones and joints,Tuberculose des os et des articulations,,,Diagnosis,N/A,,,,,
112163AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A30.1,Tuberculoid Leprosy (Type T) (A30.1),Lepre tuberculoide (A30.1),Tuberculoid Leprosy (Type T),Lepre tuberculoide,,,Diagnosis,N/A,,,,,
112188AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O30.1,Triplet Pregnancy (O30.1),"Grossesse multiple, triples (O30.1)",Triplet Pregnancy,"Grossesse multiple, triples",,,Diagnosis,N/A,,,,,
112245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S68.1,Traumatic Amputation of Finger(s) (S68.1),Amputation traumatique d'un (des) doigt(s) (S68.1),Traumatic Amputation of Finger(s),Amputation traumatique d'un (des) doigt(s),,,Diagnosis,N/A,,,,,
112250AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:T11.6,Amputation of arm (T11.6),Amputation traumatique du membre superieur (T11.6),Amputation of arm,Amputation traumatique du membre superieur,,,Diagnosis,N/A,,,,,
112264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P22.1,Transitory tachypnea of newborn (P22.1),Tachypnee transitoire du nouveau-ne (P22.1),Transitory tachypnea of newborn,Tachypnee transitoire du nouveau-ne,,,Diagnosis,N/A,,,,,
112276AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:G45.9,Transient Cerebral Ischemia (G45.9),Ischemie cerebrale transitoire (G45.9),Transient Cerebral Ischemia,Ischemie cerebrale transitoire,,,Diagnosis,N/A,,,,,
112341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M43.6,Torticollis (M43.6),Torticolis (M43.6),Torticollis,Torticolis,,,Diagnosis,N/A,,,,,
112345AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K08.1,Tooth loss (K08.1),Perte des dents (K08.1),Tooth loss,Perte des dents,,,Diagnosis,N/A,,,,,
112385AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:E06.9,Thyroiditis (E06.9),Thyroïdite (E06.9),Thyroiditis,Thyroïdite,,,Diagnosis,N/A,,,,,
112416AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O20.0,Threatened Abortion (O20.0),Menace d'avortement (O20.0),Threatened Abortion,Menace d'avortement,,,Diagnosis,N/A,,,,,
112423AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:N81.3,"Uterovaginal Prolapse, Complete (N81.3)",Prolapsus utero-vaginal complet (N81.3),"Uterovaginal Prolapse, Complete",Prolapsus utero-vaginal complet,,,Diagnosis,N/A,,,,,
112454AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K07.6,Temporomandibular joint disorder (K07.6),Dysfonctionnement de l'articulation temporo-mandibulaire (K07.6),Temporomandibular joint disorder,Dysfonctionnement de l'articulation temporo-mandibulaire,,,Diagnosis,N/A,,,,,
112459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S83.2,Torn meniscus (S83.2),Menisque dechire (S83.2),Torn meniscus,Menisque dechire,,,Diagnosis,N/A,,,,,
112476AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M32.9,Systemic Lupus Erythematosus (M32.9),Lupus erythemateux dissemine (M32.9),Systemic Lupus Erythematosus,Lupus erythemateux dissemine,,,Diagnosis,N/A,,,,,
112480AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A41.9,Severe Sepsis (A41.9),Sepsis severe (A41.9),Severe Sepsis,Sepsis severe,,,Diagnosis,N/A,,,,,
112495AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M65.9,Unspecified Synovitis and Tenosynovitis (M65.9),Synovite et tenosynovite (M65.9),Unspecified Synovitis and Tenosynovitis,Synovite et tenosynovite,,,Diagnosis,N/A,,,,,
112586AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:X74,Suicide or self-inflicted injury by firearm or explosives (X74),Lesion auto-infligee par decharge d'armes a feu (X74),Suicide or self-inflicted injury by firearm or explosives,Lesion auto-infligee par decharge d'armes a feu,,,Diagnosis,N/A,,,,,
112652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L13.1,Subcorneal Pustular Dermatosis (L13.1),Pustulose sous-cornee (L13.1),Subcorneal Pustular Dermatosis,Pustulose sous-cornee,,,Diagnosis,N/A,,,,,
112741AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L00,Staphylococcal scalded skin syndrome (L00),Syndrome d'epidermolyse staphylococcique du nourrisson (L00),Staphylococcal scalded skin syndrome,Syndrome d'epidermolyse staphylococcique du nourrisson,,,Diagnosis,N/A,,,,,
112783AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S93.4,Ankle sprain or strain (S93.4),Entorse et foulure de la cheville (S93.4),Ankle sprain or strain,Entorse et foulure de la cheville,,,Diagnosis,N/A,,,,,
112796AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O03.1,Incomplete spontaneous abortion with hemorrhage (O03.1),"Avortement spontane incomplet, avec hemorragie (O03.1)",Incomplete spontaneous abortion with hemorrhage,"Avortement spontane incomplet, avec hemorragie",,,Diagnosis,N/A,,,,,
112827AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:T09.3,Spinal Cord Injury (T09.3),Lesion traumatique de la moelle epiniere (T09.3),Spinal Cord Injury,Lesion traumatique de la moelle epiniere,,,Diagnosis,N/A,,,,,
112845AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:I69.8,Speech and Language Deficits (I69.8),Deficits de parole et langage (I69.8),Speech and Language Deficits,Deficits de parole et langage,,,Diagnosis,N/A,,,,,
112846AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:F80.8,Speech/Language Disorder (F80.8),Desordre du parler/du langage (F80.8),Speech/Language Disorder,Desordre du parler/du langage,,,Diagnosis,N/A,,,,,
112879AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M85.4,Solitary Bone Cyst (M85.4),Kyste solitaire des os (M85.4),Solitary Bone Cyst,Kyste solitaire des os,,,Diagnosis,N/A,,,,,
112917AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P05.1,Small for gestational age (P05.1),Petits pour l'age gestationnel (P05.1),Small for gestational age,Petits pour l'age gestationnel,,,Diagnosis,N/A,,,,,
112980AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O66.0,Shoulder girdle dystocia (O66.0),Dystocie des epaules (O66.0),Shoulder girdle dystocia,Dystocie des epaules,,,Diagnosis,N/A,,,,,
113018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:J45.9,Severe persistent asthma (J45.9),Asthme persistant severe (J45.9),Severe persistent asthma,Asthme persistant severe,,,Diagnosis,N/A,,,,,
113034AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L82,Seborrheic Keratosis (L82),Keratose seborrheique (L82),Seborrheic Keratosis,Keratose seborrheique,,,Diagnosis,N/A,,,,,
113046AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:H25.9,Senile Cataract (H25.9),Cataracte senile (H25.9),Senile Cataract,Cataracte senile,,,Diagnosis,N/A,,,,,
113129AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L94.3,Sclerodactyly (L94.3),Sclerodactylie (L94.3),Sclerodactyly,Sclerodactylie,,,Diagnosis,N/A,,,,,
113167AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A02.2,Salmonella Osteomyelitis (A02.2),Osteomyelite due a salmonella (A02.2),Salmonella Osteomyelitis,Osteomyelite due a salmonella,,,Diagnosis,N/A,,,,,
113169AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A02.9,Salmonella Infection (A02.9),Salmonellose (A02.9),Salmonella Infection,Salmonellose,,,Diagnosis,N/A,,,,,
113180AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S86.0,Rupture of Achilles tendon (S86.0),Lesion du tendon d'Achille (S86.0),Rupture of Achilles tendon,Lesion du tendon d'Achille,,,Diagnosis,N/A,,,,,
113205AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:B06.9,Rubella (B06.9),Rubeole (B06.9),Rubella,Rubeole,,,Diagnosis,N/A,,,,,
113208AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M75.1,Rotator Cuff Rupture (M75.1),Rupture de la coiffe des rotateurs (M75.1),Rotator Cuff Rupture,Rupture de la coiffe des rotateurs,,,Diagnosis,N/A,,,,,
113237AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:I09.1,Rheumatic heart disease of the endocardium (I09.1),Maladie valvulaire rhumatismale de l’endocarde (I09.1),Rheumatic heart disease of the endocardium,Maladie valvulaire rhumatismale de l’endocarde,,,Diagnosis,N/A,,,,,
113240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C49.9,Rhabdomyosarcoma (C49.9),Rhabdomyosarcome (C49.9),Rhabdomyosarcoma,Rhabdomyosarcome,,,Diagnosis,N/A,,,,,
113279AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O73.0,Retained placenta without hemorrhage (O73.0),Retention du placenta sans hemorragie (O73.0),Retained placenta without hemorrhage,Retention du placenta sans hemorragie,,,Diagnosis,N/A,,,,,
113292AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:T15.9,Foreign body in eye (T15.9),Corps etranger dans l'oeil (T15.9),Foreign body in eye,Corps etranger dans l'oeil,,,Diagnosis,N/A,,,,,
113368AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K00.5,Odontodysplasia (K00.5),Odontogenesis (K00.5),Odontodysplasia,Odontogenesis,,,Diagnosis,N/A,,,,,
113378AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:D57.0,Splenic sequestration (D57.0),Sequestration splenique (D57.0),Splenic sequestration,Sequestration splenique,,,Diagnosis,N/A,,,,,
113437AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L58.9,Radiation Dermatitis (L58.9),Radiodermite (L58.9),Radiation Dermatitis,Radiodermite,,,Diagnosis,N/A,,,,,
113469AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L08.0,Pyoderma (L08.0),Pyodermite (L08.0),Pyoderma,Pyodermite,,,Diagnosis,N/A,,,,,
113489AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A15.0,"Pulmonary Tuberculosis, Tubercle Bacilli Found (in Sputum) by Microscopy (A15.0)","Tuberculose pulmonaire, bacilles tuberculeux trouve (dans les crachats) par microscopie (A15.0)","Pulmonary Tuberculosis, Tubercle Bacilli Found (in Sputum) by Microscopy","Tuberculose pulmonaire, bacilles tuberculeux trouve (dans les crachats) par microscopie",,,Diagnosis,N/A,,,,,
113504AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:I26.9,Pulmonary Embolism (I26.9),Embolie pulmonaire (I26.9),Pulmonary Embolism,Embolie pulmonaire,,,Diagnosis,N/A,,,,,
113588AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:N41.9,Prostatitis (N41.9),Affection inflammatoire de la prostate (N41.9),Prostatitis,Affection inflammatoire de la prostate,,,Diagnosis,N/A,,,,,
113599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O48,Prolonged pregnancy (O48),Grossesse prolongee (O48),Prolonged pregnancy,Grossesse prolongee,,,Diagnosis,N/A,,,,,
113602AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O63.9,Prolonged labor (O63.9),Travail prolonge (O63.9),Prolonged labor,Travail prolonge,,,Diagnosis,N/A,,,,,
113612AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:N81.9,Female genital prolapse (N81.9),Prolapsus genital de la femme (N81.9),Female genital prolapse,Prolapsus genital de la femme,,,Diagnosis,N/A,,,,,
113617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O69.0,"Prolapse of Cord, Complicating Labor and Delivery, Delivered (O69.0)",Prolapsus du cordon ombilical (O69.0),"Prolapse of Cord, Complicating Labor and Delivery, Delivered",Prolapsus du cordon ombilical,,,Diagnosis,N/A,,,,,
113656AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A51.0,Syphilitic Chancre (A51.0),Chancre syphilitique (A51.0),Syphilitic Chancre,Chancre syphilitique,,,Diagnosis,N/A,,,,,
113676AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C02.9,Malignant Neoplasm of Tongue (C02.9),Tumeur maligne de la langue (C02.9),Malignant Neoplasm of Tongue,Tumeur maligne de la langue,,,Diagnosis,N/A,,,,,
113689AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C17.9,Malignant Neoplasm of Small Intestine (C17.9),Tumeur maligne de l'intestin grele (C17.9),Malignant Neoplasm of Small Intestine,Tumeur maligne de l'intestin grele,,,Diagnosis,N/A,,,,,
113696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C19,Malignant Neoplasm of Rectosigmoid Junction (C19),Tumeur maligne de la jonction recto-sigmoïdienne (C19),Malignant Neoplasm of Rectosigmoid Junction,Tumeur maligne de la jonction recto-sigmoïdienne,,,Diagnosis,N/A,,,,,
113712AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C30.0,Malignant Neoplasm of Nasal Cavity (C30.0),Tumeur maligne des fosses nasales (C30.0),Malignant Neoplasm of Nasal Cavity,Tumeur maligne des fosses nasales,,,Diagnosis,N/A,,,,,
113732AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C64,Malignant Neoplasm of Kidney (C64),Tumeur maligne du rein (C64),Malignant Neoplasm of Kidney,Tumeur maligne du rein,,,Diagnosis,N/A,,,,,
113757AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C69.9,"Malignant Neoplasm of Eye, Part Unspecified (C69.9)",Tumeur maligne de l'oeil (C69.9),"Malignant Neoplasm of Eye, Part Unspecified",Tumeur maligne de l'oeil,,,Diagnosis,N/A,,,,,
113763AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C18.9,Malignant Neoplasm of Colon (C18.9),Tumeur maligne du colon (C18.9),Malignant Neoplasm of Colon,Tumeur maligne du colon,,,Diagnosis,N/A,,,,,
113771AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C71.9,Malignant Brain Tumour (C71.9),Tumeur maligne de l'encephale (C71.9),Malignant Brain Tumour,Tumeur maligne de l'encephale,,,Diagnosis,N/A,,,,,
113778AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C24.9,Malignant Neoplasm of Biliary Tract (C24.9),Tumeur maligne des voie biliaires (C24.9),Malignant Neoplasm of Biliary Tract,Tumeur maligne des voie biliaires,,,Diagnosis,N/A,,,,,
113784AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C31.9,Malignant Neoplasm of Accessory Sinus (C31.9),Tumeur maligne des sinus de la face (C31.9),Malignant Neoplasm of Accessory Sinus,Tumeur maligne des sinus de la face,,,Diagnosis,N/A,,,,,
113797AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M10.0,Primary Gout (M10.0),Goutte primitive (M10.0),Primary Gout,Goutte primitive,,,Diagnosis,N/A,,,,,
113808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K65.8,Spontaneous Bacterial Peritonitis (K65.8),Peritonite bacterienne spontanee (K65.8),Spontaneous Bacterial Peritonitis,Peritonite bacterienne spontanee,,,Diagnosis,N/A,,,,,
113841AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P07.3,Premature Birth (P07.3),Naissance prematuree (P07.3),Premature Birth,Naissance prematuree,,,Diagnosis,N/A,,,,,
113858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O16,"Hypertension Complicating Pregnancy, Childbirth, Or The Puerperi (O16)",Hypertension gestationnelle (O16),"Hypertension Complicating Pregnancy, Childbirth, Or The Puerperi",Hypertension gestationnelle,,,Diagnosis,N/A,,,,,
113859AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O13,Pregnancy-induced hypertension (O13),Hypertension gestationnelle (O13),Pregnancy-induced hypertension,Hypertension gestationnelle,,,Diagnosis,N/A,,,,,
113888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P08.2,"Post-term infant, not heavy-for-dates (P08.2)","Enfant ne apres terme, qui n'est pas gros pour l'age gestationnel (P08.2)","Post-term infant, not heavy-for-dates","Enfant ne apres terme, qui n'est pas gros pour l'age gestationnel",,,Diagnosis,N/A,,,,,
113919AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:T81.4,Postoperative Wound Infection (T81.4),"Infection apres un acte a visee diagnostique et therapeutique (inclus abces de(s) plaie, de suture, et intra-abdominal) (T81.4)",Postoperative Wound Infection,"Infection apres un acte a visee diagnostique et therapeutique (inclus abces de(s) plaie, de suture, et intra-abdominal)",,,Diagnosis,N/A,,,,,
113926AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O86.8,Postnatal infection (O86.8),Infection puerperale (O86.8),Postnatal infection,Infection puerperale,,,Diagnosis,N/A,,,,,
114127AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:O44.1,Placenta Praevia (O44.1),Placenta praevia (O44.1),Placenta Praevia,Placenta praevia,,,Diagnosis,N/A,,,,,
114187AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:F84.9,Pervasive Developmental Disorder (F84.9),Trouble envahissant du developpement (F84.9),Pervasive Developmental Disorder,Trouble envahissant du developpement,,,Diagnosis,N/A,,,,,
114193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:F60.9,Personality Disorder (F60.9),Trouble de la personnalite (F60.9),Personality Disorder,Trouble de la personnalite,,,Diagnosis,N/A,,,,,
114199AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K65.9,Peritonitis (K65.9),Peritonite (K65.9),Peritonitis,Peritonite,,,Diagnosis,N/A,,,,,
114212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:I73.9,Peripheral vascular disease (I73.9),Maladie vasculaire peripherique (I73.9),Peripheral vascular disease,Maladie vasculaire peripherique,,,Diagnosis,N/A,,,,,
114240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K05.6,Periodontal Disease (K05.6),Maladie periodontale (K05.6),Periodontal Disease,Maladie periodontale,,,Diagnosis,N/A,,,,,
114259AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K04.7,Periapical abscess without sinus (K04.7),Abces periapical sans fistule (K04.7),Periapical abscess without sinus,Abces periapical sans fistule,,,Diagnosis,N/A,,,,,
114311AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M84.4,Pathologic Fracture (M84.4),Fracture pathologique (M84.4),Pathologic Fracture,Fracture pathologique,,,Diagnosis,N/A,,,,,
114506AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:K11.9,Diseases of Salivary Glands (K11.9),Maladie des glandes salivaires (K11.9),Diseases of Salivary Glands,Maladie des glandes salivaires,,,Diagnosis,N/A,,,,,
114675AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M86.9,Osteomyelitis (M86.9),Osteomyelite (M86.9),Osteomyelitis,Osteomyelite,,,Diagnosis,N/A,,,,,
114698AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:M16.9,Osteoarthritis of Hip (M16.9),Osteo-arthrite de la hanche (M16.9),Osteoarthritis of Hip,Osteo-arthrite de la hanche,,,Diagnosis,N/A,,,,,
