uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,,,,,,,
,"Congestive Heart Failure, Follow Up, Temperature data, Temperature",Misc,Numeric,Temperature,,,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Temperature data, Temperature Abnormal",Abnormal,Boolean,Temperature Abnormal,,,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Physical Examination Details",Misc,Text,Physical Examination Details,,,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, ER and likely IPD admission",Diagnosis,Boolean,,"If hypoxic, visibly distressed, or unable to care for self at home → admit to ER for IV diuresis",,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Signs/Symptoms Decompensation",Diagnosis,Boolean,,BP &#60; 80 or &#62; 180<br>Pulse &#60; 40 or &#62; 120<br>Adults RR &#62; 24<br>Low O2 sat,,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Checklist",Misc,Text,,"<b>EKG:</b> q12 months if stable, SOS if change in status<br><b> LABS:</b> *Once- patients > age 65 thyroid test <br>*q3months – electrolytes and Cr date / result<br> *q6months: <br> Hyperlipidemia – date / result<br>Diabetes – date / result<br> *Once/year – CBC (anemia can exacerbate CHF) date / result",,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Assessment / Follow up, Assessment",Misc,Coded,,If blood pressure and symptoms stable  --> 4months <br>If hypertension – change medication      --> 1 month<br>If worse dyspnea – increase furosemide --> 2 weeks,,,,,,no change in medicine,uptitrate medicine as below,Acute decompensation,Other acute illness,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Assessment / Follow up, Assessment, Notes for Others",Misc,Text,,,,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Assessment / Follow up, Follow up",Misc,Text,,,,,,,,,,,,,,,,,,,,,
,"Congestive Heart Failure, Follow Up, Assessment / Follow up, Prescriptions",Misc,Text,,,,,,,,,,,,,,,,,,,,,
