uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Asthmatic Symptoms as Child,,Misc,N/A,Asthmatic symptoms as child,,,,,,,,,,,
,Atenolol,,Misc,N/A,Atenolol,,,,,,,,,,,
,Atrial Fibrillation,,Misc,N/A,Atrial Fibrillation,,,,,,,,,,,
,B Agonist,,Misc,N/A,B Agonist,,,,,,,,,,,
,Beta Blocker,,Misc,N/A,Beta Blocker,,,,,,,,,,,
,Bilateral,,Misc,N/A,Bilateral,,,,,,,,,,,
,Bleeding requiring >1 pint of IV fluid,,Finding,N/A,Bleeding requiring >1 pint of IV fluid,,,,,,,,,,,
,Bleeding requiring blood transfusion,,Finding,N/A,Bleeding requiring blood transfusion,,,,,,,,,,,
,Blurred Vision,,Misc,N/A,Blurred Vision,,,,,,,,,,,
,Body of Stomach,,Misc,N/A,Body of Stomach,,,,,,,,,,,
,Borderline Lepromatous,,Misc,N/A,BL,,,,,,,,,,,
,Borderline Tuberculoid,,Misc,N/A,BT,,,,,,,,,,,
,BP Check Q3MO,,Misc,N/A,BP Check Q3MO,,,,,,,,,,,
,BP Medicine,,Misc,N/A,BP Medicine,,,,,,,,,,,
,Breech Presentation,,Misc,N/A,Breech,,,,,,,,,,,
,Bronchiectasis,,Misc,N/A,Bronchiectasis,,,,,,,,,,,
,Burning Pain in Extremeties,,Misc,N/A,Burning Pain in Extremeties,,,,,,,,,,,
,Caesarean Section,,Misc,N/A,Caesarean Section,,,,,,,,,,,
,Calcium CH Blocker,,Misc,N/A,Calcium CH Blocker,,,,,,,,,,,
,Carboplatin/Paclitaxel,,Misc,N/A,Carboplatin/Paclitaxel,,,,,,,,,,,
,Cardio exercise,,Misc,N/A,Cardio exercise,,,,,,,,,,,
,CBC Q12MO Anemia,,Misc,N/A,CBC Q12MO Anemia,,,,,,,,,,,
,Cephalic Presentation,,Misc,N/A,Cephalic,,,,,,,,,,,
,Change in diet,,Misc,N/A,Change in diet,,,,,,,,,,,
,Chemotherapy,,Misc,N/A,Chemotherapy,,,,,,,,,,,
,Chest Pain,,Misc,N/A,Chest Pain,,,,,,,,,,,
,Chest pain worse on exercise,,Misc,N/A,Chest pain worse on exercise,,,,,,,,,,,
,Chest tightness,,Misc,N/A,Chest tightness,,,,,,,,,,,
,CHF,,Misc,N/A,CHF,,,,,,,,,,,
,Chronic cough > 3 months,,Misc,N/A,Chronic cough > 3 months,,,,,,,,,,,
,Chronic Purulent Suptum Production,,Misc,N/A,Chronic purulent suptum production,,,,,,,,,,,
,Cisplatin,,Misc,N/A,Cisplatin,,,,,,,,,,,
,CKD,,Misc,N/A,CKD,,,,,,,,,,,
,Clubbing,,Misc,N/A,Clubbing,,,,,,,,,,,
,Coarctation Of Aorta,,Misc,N/A,Coarctation Of Aorta,,,,,,,,,,,
,Cold Air,,Misc,N/A,Cold Air,,,,,,,,,,,
,Combination of all,,Misc,N/A,Combination of all,,,,,,,,,,,
,Complete,,Misc,N/A,Complete,,,,,,,,,,,
,Concurrent,,Misc,N/A,Concurrent,,,,,,,,,,,
,Condom,,Misc,N/A,Condom,,,,,,,,,,,
,Confirmed Elsewhere,,Misc,N/A,Confirmed Elsewhere,,,,,,,,,,,
,Congestive Heart Failure,,Misc,N/A,Congestive Heart Failure,,,,,,,,,,,
,Controlled Cord Traction,,Misc,N/A,Controlled Cord Traction,,,,,,,,,,,
,COPD,,Misc,N/A,COPD,,,,,,,,,,,
,Coronary DZ,,Misc,N/A,Coronary DZ,,,,,,,,,,,
,Cortical Scarring,,Misc,N/A,Cortical Scarring,,,,,,,,,,,
,Cough,,Misc,N/A,Cough,,,,,,,,,,,
,Crushing Chest Pain,,Misc,N/A,Crushing Chest Pain,,,,,,,,,,,
,Crystalline Arthritis,,Misc,N/A,Crystalline Arthritis,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,,,,,,,,,,,
,Cutaneous,,Misc,N/A,Cutaneous,,,,,,,,,,,
,Cyclophosphamide,,Misc,N/A,Cyclophosphamide,,,,,,,,,,,
,Cystic Disease,,Misc,N/A,Cystic Disease,,,,,,,,,,,
,Death,,Misc,N/A,Death,,,,,,,,,,,
,Death During Treatment,,Misc,N/A,Death During Treatment,,,,,,,,,,,
,Decreased Kidney Function,,Misc,N/A,Decreased Kidney Function,,,,,,,,,,,
,Decreased Vision,,Misc,N/A,Decreased Vision,,,,,,,,,,,
,Depo Provera,,Misc,N/A,Depo Provera,,,,,,,,,,,
,Deteriorated,,Misc,N/A,D,,,,,,,,,,,
,Diabetes,,Misc,N/A,Diabetes,,,,,,,,,,,
,Diarrhea for 2 weeks ,,Misc,N/A,Diarrhea for 2 weeks ,,,,,,,,,,,
,Diet Control,,Misc,N/A,Diet Control,,,,,,,,,,,
,Difficulty Breathing,,Misc,N/A,Difficulty in breathing,,,,,,,,,,,
,Digoxin,,Misc,N/A,Digoxin,,,,,,,,,,,
,Dilation and Evacuation,,Procedure,N/A,Dilation and Evacuation,,,,,,,,,,,
,Distal Esophagus,,Misc,N/A,Distal Esophagus,,,,,,,,,,,
,Do Not Know,,Misc,N/A,Do Not Know,,,,,,,,,,,
,Doubtful,,Misc,N/A,Doubtful,,,,,,,,,,,
,Doxorubicin,,Misc,N/A,Doxorubicin,,,,,,,,,,,
,Doxorubicin + Cyclophosphamide,,Misc,N/A,AC,,,,,,,,,,,
,Drug Abuse,,Misc,N/A,Drug Abuse,,,,,,,,,,,
,Drug Induced,,Misc,N/A,Drug Induced,,,,,,,,,,,
,Drugs (cocaine),,Misc,N/A,Drugs (cocaine),,,,,,,,,,,
,Dyslipidemia,,Misc,N/A,Dyslipidemia,,,,,,,,,,,
,Dyspnea,,Misc,N/A,Dyspnea,,,,,,,,,,,
,Dyspnea Worse,,Misc,N/A,Dyspnea worse,,,,,,,,,,,
,Early,,Misc,N/A,Early,,,,,,,,,,,
,Edema,,Misc,N/A,Edema,,,,,,,,,,,
,Electric Vacuum Aspiration,,Procedure,N/A,Electric Vacuum Aspiration,,,,,,,,,,,
,Enalapril,,Misc,N/A,Enalapril,,,,,,,,,,,
,Endocrine Hypothyroidism,,Misc,N/A,Endocrine Hypothyroidism,,,,,,,,,,,
,Eosinophilic Bhronchitis,,Misc,N/A,Eosinophilic bhronchitis,,,,,,,,,,,
,Episiotomy on mother,,Misc,N/A,Episiotomy on mother,,,,,,,,,,,
,ER-,,Misc,N/A,ER-,,,,,,,,,,,
,ER+,,Misc,N/A,ER+,,,,,,,,,,,
,Esophagectomy,,Misc,N/A,Esophagectomy,,,,,,,,,,,
,Evidence of CHF,,Misc,N/A,Evidence of CHF,,,,,,,,,,,
,Evidence of Pneumonia,,Misc,N/A,Evidence of Pneumonia,,,,,,,,,,,
,Evidence of Tuberculosis,,Misc,N/A,Evidence of Tuberculosis,,,,,,,,,,,
,Excess Alcohol Intake,,Misc,N/A,Excess Alcohol Intake,,,,,,,,,,,
,Excess Sodium Intake,,Misc,N/A,Excess Sodium Intake,,,,,,,,,,,
,Exercise,,Misc,N/A,Exercise,,,,,,,,,,,
,Expected,,Misc,N/A,Expected,,,,,,,,,,,
,Exposure to Allergens,,Misc,N/A,Exposure to allergens,,,,,,,,,,,
,Extrapulmonary,,Misc,N/A,Extrapulmonary,,,,,,,,,,,
,Failed abortion,,Misc,N/A,Failed abortion,,,,,,,,,,,
,Family History,,Misc,N/A,Family History,,,,,,,,,,,
,Family History early M.I.,,Misc,N/A,Family History early M.I.,,,,,,,,,,,
,Family History of Asthma,,Misc,N/A,Family history of asthma,,,,,,,,,,,
,Fatigue,,Misc,N/A,Fatigue,,,,,,,,,,,
,FCHV,,Misc,N/A,FCHV,,,,,,,,,,,
,Female,,Misc,N/A,Female,,,,,,,,,,,
,Female sterilization,,Misc,N/A,Female sterilization,,,,,,,,,,,
,Fever,,Misc,N/A,Fever,,,,,,,,,,,
,Fibromyalgia,,Misc,N/A,Fibromyalgia,,,,,,,,,,,
,"First Degree Perineal Laceration, with Delivery",,Misc,N/A,First Degree Laceration,,,,,,,,,,,
,Fixed,,Misc,N/A,Fixed,,,,,,,,,,,
,Fixed/matted,,Misc,N/A,Fixed/matted,,,,,,,,,,,
,Flat,,Misc,N/A,Flat,,,,,,,,,,,
,Fluorouracil,,Misc,N/A,5-FU,,,,,,,,,,,
,FNA,,Misc,N/A,FNA,,,,,,,,,,,
,Forceps or Vaccum Extractor Delivery,,Misc,N/A,Forceps or Vaccum Extractor Delivery,,,,,,,,,,,
,Four,,Misc,N/A,Four,,,,,,,,,,,
,Fresh stillbirth,,Misc,N/A,Fresh stillbirth,,,,,,,,,,,
,Fundal pressure,,Misc,N/A,Fundal pressure,,,,,,,,,,,
,Fundus of Stomach,,Misc,N/A,Fundus of Stomach,,,,,,,,,,,
,Furosemide,,Misc,N/A,Furosemide,,,,,,,,,,,
,Ganja,,Misc,N/A,,,,,,,,,,,,
,Gastrectomy,,Misc,N/A,Gastrectomy,,,,,,,,,,,
,Gastro-esophageal Junction,,Misc,N/A,Gastro-esophageal Junction,,,,,,,,,,,
,Generalized / Tonic – Clonic,,Misc,N/A,Generalized / Tonic – Clonic,,,,,,,,,,,
,Genital,,Misc,N/A,Genital,,,,,,,,,,,
,GI,,Misc,N/A,GI,,,,,,,,,,,
,Glipizide,,Misc,N/A,Glipizide,,,,,,,,,,,
,Glomerular Diseases,,Misc,N/A,Glomerular Diseases,,,,,,,,,,,
,Goiter,,Misc,N/A,Goiter,,,,,,,,,,,
,Good Condition,,Misc,N/A,Good Condition,,,,,,,,,,,
,"Greater than 3 Months Presence Of Kidney Damage
",,Misc,N/A,"Greater than 3 Months Presence Of Kidney Damage
",,,,,,,,,,,
,Greater than or 3,,Misc,N/A,Greater than or 3,,,,,,,,,,,
,GRED - Gestroesophageal Reflux Disease,,Misc,N/A,GRED - Gestroesophageal Reflux Disease,,,,,,,,,,,
,Gudakhu,,Misc,N/A,,,,,,,,,,,,
,HCTZ,,Misc,N/A,HCTZ,,,,,,,,,,,
,Head Injury,,Misc,N/A,Head injury,,,,,,,,,,,
,Healthcare provider,,Misc,N/A,Healthcare provider,,,,,,,,,,,
,Healthy,,Misc,N/A,Healthy,,,,,,,,,,,
,Heart failure,,Misc,N/A,Heart failure,,,,,,,,,,,
,Heart Failure Medicines,,Misc,N/A,Heart failure medicines,,,,,,,,,,,
,Hemoptysis,,Misc,N/A,Hemoptysis,,,,,,,,,,,
,HER2 FISH-,,Misc,N/A,HER2 FISH-,,,,,,,,,,,
,HER2 FISH+,,Misc,N/A,HER2 FISH+,,,,,,,,,,,
,HER2 IHC-,,Misc,N/A,HER2 IHC-,,,,,,,,,,,
,HER2 IHC+,,Misc,N/A,HER2 IHC+,,,,,,,,,,,
,Histoid,,Misc,N/A,Histoid,,,,,,,,,,,
,HIV,,Misc,N/A,HIV,,,,,,,,,,,
,HIV / AIDS,,Misc,N/A,HIV / AIDS,,,,,,,,,,,
,Hyderonephrosis Due To Obstruction,,Misc,N/A,Hyderonephrosis Due To Obstruction,,,,,,,,,,,
,Hyperlipidemia,,Misc,N/A,Hyperlipidemia,,,,,,,,,,,
,Hyperparathyroidism,,Misc,N/A,Hyperparathyroidism,,,,,,,,,,,
,Hypertension,,Misc,N/A,Hypertension,,,,,,,,,,,
,Hyperthyroidism,,Misc,N/A,Hyperthyroidism,,,,,,,,,,,
,Hypertriglyceridemia,,Misc,N/A,Hypertriglyceridemia,,,,,,,,,,,
,Hypoxemia,,Misc,N/A,Hypoxemia,,,,,,,,,,,
,Idiopathic,,Misc,N/A,Idiopathic,,,,,,,,,,,
,Implant,,Misc,N/A,Implant,,,,,,,,,,,
,Improved,,Misc,N/A,I,,,,,,,,,,,
,Incomplete,,Misc,N/A,Incomplete,,,,,,,,,,,
,Incomplete abortion requiring repeat procedure,,Finding,N/A,Incomplete abortion requiring repeat procedure,,,,,,,,,,,
,Increase in Cough,,Misc,N/A,Increase in cough,,,,,,,,,,,
,Increase in Sputum Production,,Misc,N/A,Increase in sputum production,,,,,,,,,,,
,Indurated/Hard,,Misc,N/A,Indurated/Hard,,,,,,,,,,,
,Ineffective,,Misc,N/A,Ineffective,,,,,,,,,,,
,Infection requiring hospitalization/IV antibiotics,,Finding,N/A,Infection requiring hospitalization/IV antibiotics,,,,,,,,,,,
,Inguinal,,Misc,N/A,Inguinal,,,,,,,,,,,
,Inhaled Steroid,,Misc,N/A,Inhaled Steroid,,,,,,,,,,,
,Inspiratory Crackles,,Misc,N/A,Inspiratory crackles,,,,,,,,,,,
,Insulin 70/30,,Misc,N/A,Insulin 70/30,,,,,,,,,,,
,Insulin Long Acting,,Misc,N/A,Insulin Long Acting,,,,,,,,,,,
,Insulin Regular,,Misc,N/A,Insulin Regular,,,,,,,,,,,
,Insulin Short Acting,,Misc,N/A,Insulin Short Acting,,,,,,,,,,,
,Intact,,Misc,N/A,Intact,,,,,,,,,,,
,Intestinal,,Misc,N/A,Intestinal,,,,,,,,,,,
,Intra Uterine Contraceptive Device,,Misc,N/A,Intra Uterine Contraceptive Device,,,,,,,,,,,
,Intracranial Infection,,Misc,N/A,Intracranial infection,,,,,,,,,,,
,Invasive Ductal Carcinoma,,Misc,N/A,Invasive Ductal Carcinoma,,,,,,,,,,,
,Invasive Lobular Carcinoma,,Misc,N/A,Invasive Lobular Carcinoma,,,,,,,,,,,
,Ipratropium,,Misc,N/A,Ipratropium,,,,,,,,,,,
,Iron for Anemia,,Misc,N/A,Iron for Anemia,,,,,,,,,,,
,K Check Q3MO,,Misc,N/A,K Check Q3MO,,,,,,,,,,,
,KIDGO G1,,Misc,N/A,KIDGO G1,,,,,,,,,,,
,KIDGO G2,,Misc,N/A,KIDGO G2,,,,,,,,,,,
,KIDGO G3a,,Misc,N/A,KIDGO G3a,,,,,,,,,,,
,KIDGO G3b,,Misc,N/A,KIDGO G3b,,,,,,,,,,,
,KIDGO G4,,Misc,N/A,KIDGO G4,,,,,,,,,,,
,KIDGO G5,,Misc,N/A,KIDGO G5,,,,,,,,,,,
,Labor for work,,Misc,N/A,Labor for work,,,,,,,,,,,
,Lack of exercise,,Misc,N/A,Lack of exercise,,,,,,,,,,,
,Laryngeal Stenosis,,Misc,N/A,Laryngeal stenosis,,,,,,,,,,,
,Leaving Against Medical Advice,,Misc,N/A,Leaving Against Medical Advice,,,,,,,,,,,
,Left Axillary,,Misc,N/A,Left Axillary,,,,,,,,,,,
,Left Side,,Misc,N/A,Left Side,,,,,,,,,,,
,Lepromatous,,Misc,N/A,LL,,,,,,,,,,,
,Little,,Misc,N/A,Little,,,,,,,,,,,
,Liver,,Misc,N/A,Liver,,,,,,,,,,,
,Locally Advanced,,Misc,N/A,Locally Advanced,,,,,,,,,,,
,Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,,,,,,,,,,,
,Lost of Follow Up,,Misc,N/A,L,,,,,,,,,,,
,Lung,,Misc,N/A,Lung,,,,,,,,,,,
,Lymph Node,,Misc,N/A,Lymph Node,,,,,,,,,,,
,M0 Metastatic Stage,,Misc,N/A,M0,,,,,,,,,,,
,M1 Metastatic Stage,,Misc,N/A,M1,,,,,,,,,,,
,Macerated stillbirth,,Misc,N/A,Macerated stillbirth,,,,,,,,,,,
,Male,,Misc,N/A,Male,,,,,,,,,,,
,Male sterilization,,Misc,N/A,Male sterilization,,,,,,,,,,,
,Malnutrition,,Misc,N/A,Malnutrition,,,,,,,,,,,
,Manage and 3 months,,Misc,N/A,Manage and 3 months,,,,,,,,,,,
,Manual removal,,Misc,N/A,Manual removal,,,,,,,,,,,
,Manual Vacuum Aspiration,,Procedure,N/A,Manual Vacuum Aspiration,,,,,,,,,,,
,Maternal effort,,Misc,N/A,Maternal effort,,,,,,,,,,,
,Med non adherence,,Misc,N/A,Med non adherence,,,,,,,,,,,
,Medical Abortion,,Procedure,N/A,Medical Abortion,,,,,,,,,,,
,Medical Induction,,Procedure,N/A,Medical Induction,,,,,,,,,,,
,Medico Legal,,Misc,N/A,Medico Legal,,,,,,,,,,,
,Meningeal,,Misc,N/A,Meningeal,,,,,,,,,,,
,Menses,,Misc,N/A,Menses,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,,,,,,,,,,,
,Metastatic Disease,,Misc,N/A,Metastatic Disease,,,,,,,,,,,
,Metastatic Disease (Stage IV),,Misc,N/A,Metastatic Disease (Stage IV),,,,,,,,,,,
,Metformin,,Misc,N/A,Metformin,,,,,,,,,,,
,Methotrexade,,Misc,N/A,Methotrexade,,,,,,,,,,,
,Midspectrum Borderline,,Misc,N/A,BB,,,,,,,,,,,
,Mild,,Misc,N/A,Mild,,,,,,,,,,,
,Mild Exacerbation,,Misc,N/A,Mild Exacerbation,,,,,,,,,,,
,Mitral Regurg,,Misc,N/A,Mitral Regurg,,,,,,,,,,,
,Mitral Stenosis,,Misc,N/A,Mitral Stenosis,,,,,,,,,,,
,Mobile,,Misc,N/A,Mobile,,,,,,,,,,,
,Moderate,,Misc,N/A,Moderate,,,,,,,,,,,
,Moderate Exacerbation,,Misc,N/A,Moderate Exacerbation,,,,,,,,,,,
,Mostly,,Misc,N/A,Mostly,,,,,,,,,,,
,Mucous Plug,,Misc,N/A,Mucous plug,,,,,,,,,,,
,Multibacillary Leprosy,,Misc,N/A,MB,,,,,,,,,,,
,MX Metastatic Stage,,Misc,N/A,MX,,,,,,,,,,,
,Myocardiac infarction,,Misc,N/A,Myocardiac infarction,,,,,,,,,,,
,N0 Lymph Node Stage,,Misc,N/A,N0,,,,,,,,,,,
,N1 Lymph Node Stage,,Misc,N/A,N1,,,,,,,,,,,
,N2 Lymph Node Stage,,Misc,N/A,N2,,,,,,,,,,,
,N3 Lymph Node Stage,,Misc,N/A,N3,,,,,,,,,,,
,Nausea,,Misc,N/A,Nausea,,,,,,,,,,,
,Negative,,Misc,N/A,Negative,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,,,,,,,,,,,
,Neuropathy,,Misc,N/A,Neuropathy,,,,,,,,,,,
,Never Had Problems,,Misc,N/A,N,,,,,,,,,,,
,New Diagnosis,,Misc,N/A,New,,,,,,,,,,,
,Night Sweats,,Misc,N/A,Night Sweats,,,,,,,,,,,
,Nil,,Misc,N/A,Nil,,,,,,,,,,,
,Nitroglycerin,,Misc,N/A,Nitroglycerin,,,,,,,,,,,
,no change in medicine,,Misc,N/A,no change in medicine,,,,,,,,,,,
,No Pain,,Misc,N/A,No Pain,,,,,,,,,,,
,No Previous Diagnosis,,Misc,N/A,No Previous Diagnosis,,,,,,,,,,,
,Nocturia,,Misc,N/A,Nocturia,,,,,,,,,,,
,Nodular,,Misc,N/A,Nodular,,,,,,,,,,,
,Non SBA Health worker,,Misc,N/A,Non SBA,,,,,,,,,,,
,Non-Metastatic,,Misc,N/A,Non-Metastatic,,,,,,,,,,,
,None,,Misc,N/A,None,,,,,,,,,,,
,None / Sedentary,,Misc,N/A,None / Sedentary,,,,,,,,,,,
,Normal,,Misc,N/A,Normal,,,,,,,,,,,
,Normal Blood Pressure,,Misc,N/A,Normal Blood Pressure,,,,,,,,,,,
,Not Applicable,,Misc,N/A,Not Applicable,,,,,,,,,,,
,Not Complete,,Misc,N/A,Not Complete,,,,,,,,,,,
,Not determined,,Misc,N/A,Not determined,,,,,,,,,,,
,Not in Good Condition,,Misc,N/A,Not in Good Condition,,,,,,,,,,,
,NSAID,,Misc,N/A,NSAID,,,,,,,,,,,
,Numbness,,Misc,N/A,Numbness,,,,,,,,,,,
,Numbness of Fingers,,Misc,N/A,Numbness of Fingers,,,,,,,,,,,
,NX Lymph Node Stage,,Misc,N/A,NX,,,,,,,,,,,
,Obesity,,Misc,N/A,Obesity,,,,,,,,,,,
,Obesity And Weight Gain,,Misc,N/A,Obesity And Weight Gain,,,,,,,,,,,
,Obstructive Sleep Apnea,,Misc,N/A,Obstructive Sleep Apnea,,,,,,,,,,,
,On exertion,,Misc,N/A,On exertion,,,,,,,,,,,
,On Treatment,,Misc,N/A,On Treatment,,,,,,,,,,,
,One,,Misc,N/A,One,,,,,,,,,,,
,Open Biopsy,,Misc,N/A,Open Biopsy,,,,,,,,,,,
,Oral Contraceptives,,Misc,N/A,Oral Contraceptives,,,,,,,,,,,
,Oral Steroid,,Misc,N/A,Oral Steroid,,,,,,,,,,,
,Orthopnea,,Misc,N/A,Orthopnea,,,,,,,,,,,
,Osteoarthritis,,Misc,N/A,Osteoarthritis,,,,,,,,,,,
,Other,,Misc,N/A,Other,,,,,,,,,,,
,Other abortion procedures,,Procedure,N/A,Other,,,,,,,,,,,
,Other acute illness,,Misc,N/A,Other acute illness,,,,,,,,,,,
,Other Invasive Carcinoma (Specify),,Misc,N/A,Other Invasive Carcinoma (Specify),,,,,,,,,,,
,Other multiple births all liveborn,,Misc,N/A,Other multiple births all liveborn,,,,,,,,,,,
,Other multiple births some liveborn,,Misc,N/A,Other multiple births some liveborn,,,,,,,,,,,
,"PAC Cause, Medical abortion",,Misc,N/A,Medical abortion,,,,,,,,,,,
,"PAC Cause, Spontaneous abortion",,Misc,N/A,Spontaneous abortion,,,,,,,,,,,
,"PAC Cause, Surgical abortion",,Misc,N/A,Surgical abortion,,,,,,,,,,,
,Paclitaxel,,Misc,N/A,Paclitaxel,,,,,,,,,,,
,Pain Due To Other Illness,,Misc,N/A,Pain Due To Other Illness,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,Palliative,,Misc,N/A,Palliative,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,,,,,,,,,,,
,Paroxysmal nocturnal dyspnea,,Misc,N/A,Paroxysmal nocturnal dyspnea,,,,,,,,,,,
,Partial,,Misc,N/A,Partial,,,,,,,,,,,
,Partial Nephrectomy,,Misc,N/A,Partial Nephrectomy,,,,,,,,,,,
,Patient S/P Surgical Resection,,Misc,N/A,Patient S/P Surgical Resection,,,,,,,,,,,
,Paucibacillary Leprosy,,Misc,N/A,PB,,,,,,,,,,,
,Penicillin,,Misc,N/A,Penicillin,,,,,,,,,,,
,Pericardial,,Misc,N/A,Pericardial,,,,,,,,,,,
,Peripartum C'mpathy,,Misc,N/A,Peripartum C'mpathy,,,,,,,,,,,
,Peritoneal,,Misc,N/A,Peritoneal,,,,,,,,,,,
,Periumbilical,,Misc,N/A,Periumbilical,,,,,,,,,,,
,Personal History of Atopic Disease,,Misc,N/A,Personal history of atopic disease,,,,,,,,,,,
,Pills,,Misc,N/A,Pills,,,,,,,,,,,
,Pleural,,Misc,N/A,Pleural,,,,,,,,,,,
,pN0,,Misc,N/A,pN0,,,,,,,,,,,
,pN1,,Misc,N/A,pN1,,,,,,,,,,,
,pN2,,Misc,N/A,pN2,,,,,,,,,,,
,pN3,,Misc,N/A,pN3,,,,,,,,,,,
,PND,,Misc,N/A,PND,,,,,,,,,,,
,Police Case,,Misc,N/A,Police Case,,,,,,,,,,,
,Polycystic Kidney,,Misc,N/A,Polycystic Kidney,,,,,,,,,,,
,Polydypsia,,Misc,N/A,Polydypsia,,,,,,,,,,,
,Polyuria,,Misc,N/A,Polyuria,,,,,,,,,,,
,Positive,,Misc,N/A,Positive,,,,,,,,,,,
,Post Viral Tussive Syndrome,,Misc,N/A,Post viral tussive syndrome,,,,,,,,,,,
,Post-Operative / Palliative Chemotherapy,,Misc,N/A,Post-Operative / Palliative Chemotherapy,,,,,,,,,,,
,Post-Operative Chemotherapy,,Misc,N/A,Post-Operative Chemotherapy,,,,,,,,,,,
,Postnasal Drip Syndrome,,Misc,N/A,Postnasal drip syndrome,,,,,,,,,,,
,PR-,,Misc,N/A,PR-,,,,,,,,,,,
,PR+,,Misc,N/A,PR+,,,,,,,,,,,
,Pre-Operative Chemotherapy,,Misc,N/A,Pre-Operative Chemotherapy,,,,,,,,,,,
,Prednisone,,Misc,N/A,Prednisone,,,,,,,,,,,
,Pregnancy,,Misc,N/A,Pregnancy,,,,,,,,,,,
,Prehypertension,,Misc,N/A,Prehypertension,,,,,,,,,,,
,Primary Renal Disease,,Misc,N/A,Primary Renal Disease,,,,,,,,,,,
,Psoriatic Arthritis,,Misc,N/A,Psoriatic Arthritis,,,,,,,,,,,
,Pulmonary,,Misc,N/A,Pulmonary,,,,,,,,,,,
,Pulmonary Embolism,,Misc,N/A,Pulmonary embolism,,,,,,,,,,,
,Pure Neurotic,,Misc,N/A,PAN,,,,,,,,,,,
,Pylorus,,Misc,N/A,Pylorus,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,,,,,,,,,,,
,Ragged,,Misc,N/A,Ragged,,,,,,,,,,,
,Raised,,Misc,N/A,Raised,,,,,,,,,,,
,Reactive Arthritis,,Misc,N/A,Reactive Arthritis,,,,,,,,,,,
,Recent illness,,Misc,N/A,Recent illness,,,,,,,,,,,
,Referred out,,Misc,N/A,Referred out,,,,,,,,,,,
,Relapse,,Misc,N/A,Relapse,,,,,,,,,,,
,Related Lymphoma,,Misc,N/A,Related Lymphoma,,,,,,,,,,,
,Related Neuropathy,,Misc,N/A,Related Neuropathy,,,,,,,,,,,
