uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5
,Laparoscopic Gastric Banding,,Procedure,N/A,Lap Band,,,,,,,,,,
,Laparotomy,,Procedure,N/A,,,,,,,,,,,
,Lobuloplasty,,Procedure,N/A,,,,,,,,,,,
,Lord's Procedure,,Procedure,N/A,,,,,,,,,,,
,Lower Segment Caesarean Section,,Procedure,N/A,LSCS,,,,,,,,,,
,Lumbar Sympathectomy,,Procedure,N/A,,,,,,,,,,,
,Lymph Node Biopsy,,Procedure,N/A,LN Biopsy,,,,,,,,,,
,Marsupialisation,,Procedure,N/A,,,,,,,,,,,
,Mastectomy,,Procedure,N/A,,,,,,,,,,,
,Meatotomy,,Procedure,N/A,,,,,,,,,,,
,Medical Termination of Pregnancy,,Procedure,N/A,MTP,,,,,,,,,,
,Meshplasty,,Procedure,N/A,,,,,,,,,,,
,Millard Repair,,Procedure,N/A,,,,,,,,,,,
,Modified Radical Mastectomy,,Procedure,N/A,MRM,,,,,,,,,,
,Nephrectomy,,Procedure,N/A,,,,,,,,,,,
,Nephrolithotomy,,Procedure,N/A,,,,,,,,,,,
,Nephrostomy,,Procedure,N/A,,,,,,,,,,,
,Nephrotomy,,Procedure,N/A,,,,,,,,,,,
,Oophorectomy,,Procedure,N/A,,,,,,,,,,,
,Orchidectomy,,Procedure,N/A,,,,,,,,,,,
,Orchiopexy,,Procedure,N/A,,,,,,,,,,,
,Ovarian Cystectomy,,Procedure,N/A,,,,,,,,,,,
,Palatoplasty,,Procedure,N/A,,,,,,,,,,,
,Panhysterectomy,,Procedure,N/A,,,,,,,,,,,
,Peritoneal Toilet,,Procedure,N/A,,,,,,,,,,,
,Polypectomy,,Procedure,N/A,,,,,,,,,,,
,Posterior Sagittal Anorectoplasty,,Procedure,N/A,PSARP,,,,,,,,,,
,Prostatectomy,,Procedure,N/A,,,,,,,,,,,
,Pyelolithotomy,,Procedure,N/A,,,,,,,,,,,
,Pyloromyotomy,,Procedure,N/A,Ramstedt Operation,,,,,,,,,,
,Salpingoophorectomy,,Procedure,N/A,,,,,,,,,,,
,Sigmoid Loop Colostomy,,Procedure,N/A,,,,,,,,,,,
,Sigmoidectomy,,Procedure,N/A,,,,,,,,,,,
,Silo pouch stoma,,Procedure,N/A,,,,,,,,,,,
,Sistrunk Procedure,,Procedure,N/A,,,,,,,,,,,
,Snodgrass Urethroplasty,,Procedure,N/A,,,,,,,,,,,
,Superficial Parotidectomy,,Procedure,N/A,,,,,,,,,,,
,Suprapubic Catheter Insertion,,Procedure,N/A,SPC,,,,,,,,,,
,Total Abdominal Hysterectomy,,Procedure,N/A,TAH,,,,,,,,,,
,Tubectomy,,Procedure,N/A,,,,,,,,,,,
,Ureterolithotomy,,Procedure,N/A,,,,,,,,,,,
,Urethroplasty,,Procedure,N/A,,,,,,,,,,,
,Vesicostomy,,Procedure,N/A,,Suprapubic Cystostomy,Epicystostomy,,,,,,,,
,Wertheim's Hysterectomy,,Procedure,N/A,,,,,,,,,,,
,Wide Local Excision,,Procedure,N/A,WLE,,,,,,,,,,
