id,name,categ_id/id,type,uom_id/id,uom_po_id/id,invoice_policy,lst_price,standard_price,x_concept_source,x_concept_code,x_drug_strength
init.a8355c83-31db-4089-a962-512e35097ef0,Amoxicillin 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.29,1.2,https://cielterminology.org,71160,500mg
init.c554ffb2-5706-4623-a89a-008366cd564c,Flagyl 250mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.33,1.26,https://cielterminology.org,79782,250mg
init.94c9f33b-ffe9-466b-8090-77cd3d5334f0,Rocephin 1g,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.41,1.38,https://cielterminology.org,73041,1g
init.aae13cbd-1509-4e4d-9b5a-ce6139fb74c2,Colace 100mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,75120,100mg
init.28dc1ebd-945e-4795-9060-5c60ffb5a577,Ultram 50mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,85275,50mg
init.dec17cc7-f772-4814-ae9c-49007d644092,Nexium 20mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.94,0.72,https://cielterminology.org,75875,20mg
init.c695f96f-32dd-47fe-9877-059ee337bea0,Pepcid,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.99,0.78,https://cielterminology.org,76178,
init.f321c087-0a5b-48c1-a605-3954e6159b86,Xylocaine,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.16,1.02,https://cielterminology.org,78849,
init.856c6ba9-201e-4022-a4b4-6d8aafeff7fd,Dermadex 10mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.24,1.14,https://cielterminology.org,85249,10mg
init.4e920e87-ac86-42ec-ab72-7b55d51e1a29,Zestril 40mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.33,1.26,https://cielterminology.org,78945,40mg
init.a20b435b-a8f8-4727-b2be-bcc5d2befd33,Rocephin 500mg,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,73041,500mg
init.9c38ea14-0972-46a9-9dac-76cafbb44971,Cipro 250mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.94,0.72,https://cielterminology.org,73449,250mg
init.03f18d86-ac0a-49a6-87bf-e022119301ad,Cipro 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.99,0.78,https://cielterminology.org,73449,500mg
init.ed9e55d8-eb78-4e2f-bc57-d5107ac1481c,Amoxicillin 125mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,71160,125mg / 5ml
init.4bc64ce7-18a8-460a-9314-0f89e4ca2d0b,Bactrim 160mg + 800mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,105281,160mg + 800mg
init.8f04e3bf-60da-4e53-a577-f5fac65ec25e,Augmentin 600mg + 42.9mg / 75ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,450,600mg + 42.9mg / 75ml
init.6a455315-51b3-41db-9e5d-ee03c2ad3cdb,Augmentin 250mg + 62.5mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,450,250mg + 62.5mg / 5ml
init.2ddaae26-c352-4245-a1d5-b8884068d17b,Augmentin 600mg + 42.9mg / 125ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,450,600mg + 42.9mg / 125ml
init.a116c770-3d2e-4139-b670-45e021fede4e,Advil 400mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,77897,400mg
init.3e804780-c538-4800-ab4d-da7f710dc4cd,Advil 600mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,77897,600mg
init.62e89330-c656-44dc-bcf9-a7c90111e8c3,Albenza 200mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,70439,200mg
init.a8b5bd1d-867a-4159-b585-13fe1bd59dce,Amoxicillin 250mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.94,0.72,https://cielterminology.org,71160,250mg
init.0e99b832-3cad-4039-bfb5-0c2f55906f8a,Amoxicillin 250mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.99,0.78,https://cielterminology.org,71160,250mg / 5ml
init.9e99eb20-5172-433a-ba7e-669b0f2af50b,Amoxicillin 400mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.03,0.84,https://cielterminology.org,71160,400mg / 5ml
init.a722710f-403b-451f-804b-09f8624b0838,Aspirin 162.5mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.07,0.9,https://cielterminology.org,71617,162.5mg
init.372d5752-dc7b-487e-b450-e7cdabacef50,Cipro 750mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.9,0.66,https://cielterminology.org,73449,750mg
init.f944281f-8655-4897-9fdb-6cc038d094f9,Erythromycin 125mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.41,1.38,https://cielterminology.org,75842,125mg / 5ml
init.7a6c2021-7be0-46eb-bc03-b88b6d2f5ba6,Erythromycin 250mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.46,1.44,https://cielterminology.org,75842,250mg / 5ml
init.89e1bd4d-2d1e-4c1b-92ca-1d997943020d,Flagyl 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,79782,500mg
init.3e4dbab0-674c-4660-999c-09a67520451a,HCTZ 12.5mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,77696,12.5mg
init.d88a415d-1532-4d6e-9b47-b0264aa84485,Metro-gel 0.75%,init.categ_products_drug_orders,product,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.24,1.14,http://snomed.info/sct/,1222004,0.75%
init.92e5fe31-7eb4-4bdc-a245-e359715eee0e,Motrin Chilren's 100mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.29,1.2,https://cielterminology.org,77897,100mg / 5ml
init.5939e5cd-cc6e-470a-bd7d-d1353e9174be,Motrin Infant's 50mg / 1.25ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.33,1.26,https://cielterminology.org,77897,50mg / 1.25ml
init.d63618a1-258b-40e2-b46a-50130d9a4573,Norvasc 2.5mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,71137,2.5mg
init.b3540868-910d-456c-8cba-459f4b5fe9ff,Pepcid 20mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,76178,20mg
init.c36a8c91-0c4d-4be3-950b-f5f07428a816,Pepcid 40mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,76178,40mg
init.e1a092b6-10f6-438e-aa6d-2b0d1059403e,Rocephin 2g,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.2,1.08,https://cielterminology.org,73041,2g
init.29050ed9-d91e-4ced-8d18-8d37f5d55be2,Tylenol 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.37,1.32,https://cielterminology.org,70116,500mg
init.9d3011b1-5be6-47b0-825b-851ad385c6d9,Tylenol Chilren's 160mg / 5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.41,1.38,https://cielterminology.org,70116,160mg / 5ml
init.b7c41b8b-aa72-4749-9649-2684488a9406,Zestril 10mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,78945,10mg
init.d6f041d9-cf9b-4208-87fa-355a4ef6fcaa,Zofran 8mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,81073,8mg
init.c6f97741-1f9c-4b25-8af1-dcf3fe720d7a,Bactoclav 500mg + 125mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,450,500mg + 125mg
init.9bb16770-8205-4360-b7e3-86d2d4cf08fb,Rocephin 250mg,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,73041,250mg
init.2819e041-6657-4a27-8472-07563eb6038f,Acétaminophene Sirop 120mg/5ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.9,0.66,https://cielterminology.org,70116,120mg/5ml
init.b89f03d9-a61b-4d4e-9636-5b28fdef4525,Acétaminophene Co 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.94,0.72,https://cielterminology.org,70116,500mg
init.b61b29d2-41ee-4079-8fbb-a054596b7ae1,Acétaminophene Gtts 60mg/ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.99,0.78,https://cielterminology.org,70116,60mg/ml
init.4eb11496-3275-4087-ab5c-b1e4ea885e99,Acide Folique Co 5mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.07,0.9,https://cielterminology.org,76613,5mg
init.123c4342-552a-4db9-bb0b-a7d0bd2e5849,Acyclovir Co 400mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.11,0.96,https://cielterminology.org,70245,400mg
init.45aaf344-e567-4716-be52-4a7a642305c1,Acyclovir Sirop 200mg,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.16,1.02,https://cielterminology.org,70245,200mg
init.a74fe93c-b023-4159-8bd6-5d40a0909636,Acyclovir creme 3%,init.categ_products_drug_orders,product,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.2,1.08,https://cielterminology.org,70245,3%
init.22269776-0866-4d7f-b4f6-901d31531f83,Acyclovir ophtalmique 5%,init.categ_products_drug_orders,product,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.24,1.14,https://cielterminology.org,70245,5%
init.37302e59-9824-4ec3-a8f7-6b491a5ee183,Albendazole Co 400mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.33,1.26,https://cielterminology.org,70439,400mg
init.7bf6328a-4194-484e-846f-a98bd41634e8,Albendazole Sirop 400 mg/10 ml,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.37,1.32,https://cielterminology.org,70439,400 mg/10 ml
init.c91f7481-cb7b-40ad-92cc-e8f54534de29,Amlodipine Co 10mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,71137,10mg
init.1eebc619-5593-44be-9057-041df86b06ae,Amoxycilline Sirop 125 mg,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,71160,125 mg
init.d879219a-a74d-4a4a-a893-ebeb5594c629,Amoxycilline Co 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,71160,500mg
init.a0f54b5b-0eda-49aa-82be-3634df0de78f,Ampiciline Injection vial 1g,init.categ_products_drug_orders,product,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,71188,1g
init.02dd2a8e-1a8f-49cb-bc06-daf9e1af16ba,Aspirine Co 81mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.99,0.78,https://cielterminology.org,71617,81mg
init.2e2bf852-a920-41cd-bc27-65f1da248045,Azythromycine Co 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.07,0.9,https://cielterminology.org,71780,500mg
init.c872abc2-47ed-4eb2-bd6e-b6dbf6d6a95f,Benzyl Benzoate Lotion 25%,init.categ_products_drug_orders,product,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.16,1.02,https://cielterminology.org,72075,25%
init.368866e6-0b82-4049-8f10-9fc2bbf43066,Ceftriaxone Injection vial 1g,init.categ_products_drug_orders,product,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.33,1.26,https://cielterminology.org,73041,1g
init.9b305550-beb8-4c7b-a800-caab72438430,Ciprofloxacin Co 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.46,1.44,https://cielterminology.org,73449,500mg
init.1cd391d8-ed72-4c61-a203-faf40bee6921,Augmentin Co 625mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,450,625mg
init.f0ab1781-bf08-4c5e-9b32-2d51e1d5a38c,Bactoclav Sirop 312.5mg,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,450,312.5mg
init.eb4fedd3-154d-43f8-ad6c-d89930b1e175,Dexamethasone Injection vial 8 mg,init.categ_products_drug_orders,product,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,74609,8 mg
init.0e8496ea-c8f7-4f08-abef-994e3c3243a2,Diazepam Co 5mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,74745,5mg
init.2dca268b-fdb8-42f2-85eb-73a884c020ce,Diazepam Injection vial 5 mg,init.categ_products_drug_orders,product,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,74745,5 mg
init.cbbc7d55-db59-4ea3-9f3b-d3709b1bb82d,Erythromicine Co 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.33,1.26,https://cielterminology.org,75842,500mg
init.74c26d25-3b98-4bf7-b962-3de028b352a7,Erythromicine Sirop 125mg,init.categ_products_drug_orders,product,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.37,1.32,https://cielterminology.org,75842,125mg
init.74ae589d-140f-4b2e-a040-d3ad09148f3f,Hydrochlorothiazide Co 50mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.03,0.84,https://cielterminology.org,77696,50mg
init.daf6e832-5615-44ce-a512-6f1c239245d9,Hyoscine Butylbromide Injection vial 20 mg,init.categ_products_drug_orders,product,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.16,1.02,https://cielterminology.org,431,20 mg
init.f05dd6ca-43d0-45ea-93ef-8d82483bbdc9,Ibuprofene Co 400 mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.2,1.08,https://cielterminology.org,77897,400 mg
init.b35c87c8-fb39-4ca4-aae9-0986349c5eaf,MGSO4 25%,init.categ_products_drug_orders,product,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,79247,25%
init.095f2aaa-351b-4848-9039-87bf67e2e97b,Metformin Co 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,79651,500mg
