Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
aae13cbd-1509-4e4d-9b5a-ce6139fb74c2,,Colace 100mg,Docusate Sodium,Tablet,100mg,
311f1a89-0c75-4b34-bc88-00f2edee9400,,Senokot 17mg,Senna,Tablet,17mg,
8dd28534-a357-4617-8909-2160f7fd7e4c,,Claritin,Loratadine,Tablet,,
277024fa-a41d-4655-8485-a44ef683c41f,,Benadryl,Diphenhydramine,Tablet,,
e3a59ed6-c9b9-4bb0-922d-25fc6aa74043,,Deltasone,Prednisone,Tablet,,
52128175-f648-4a4b-bb2d-4d7a97ea4b6e,,Vitamin B12 1000mcg,Vitamin B Complex,Injectable,1000mcg,
28dc1ebd-945e-4795-9060-5c60ffb5a577,,Ultram 50mg,Tramadol,Tablet,50mg,
b9f17974-47ba-430f-9a17-352f50241e90,,Flexeril 5mg,Cyclobenzaprine,Tablet,5mg,
dec17cc7-f772-4814-ae9c-49007d644092,,Nexium 20mg,Esomeprazole,Tablet,20mg,
c695f96f-32dd-47fe-9877-059ee337bea0,,Pepcid,Famotidine,Tablet,,
637499ff-1c54-4722-ba57-3e41b3d22a49,,Permethrin,Permethrin,Cream,,
47453ba1-85f2-4c78-b1c7-8b3c79e40df2,,Zeasorb 2%,Miconozole,Cream,2%,
2f6bc24e-bd9e-4520-a6ba-f999ef7cbafd,,Tolnoftate 1%,Tolnoftate,Cream,1%,
f321c087-0a5b-48c1-a605-3954e6159b86,,Xylocaine,Lidocaine,Solution,,
63e5f917-ce97-47c4-8423-126bd798636e,,Normal Saline 0.9%,Normal Saline (NS),Solution,0.90%,
856c6ba9-201e-4022-a4b4-6d8aafeff7fd,,Dermadex 10mg,Benzyl Benzoate,Tablet,10mg,
60508974-752a-4960-b0be-f0e6aa6da64b,,Inderal 80mg,Propranolol,Tablet,80mg,
4e920e87-ac86-42ec-ab72-7b55d51e1a29,,Zestril 40mg,Lisinopril,Tablet,40mg,
b6a421fd-50f2-4ed7-b687-23d985e42a50,,Glucotrol 10mg,Glipizide,Tablet,10mg,
ab1a18bd-926d-48f3-8006-16314952698b,,Glyburide 5mg,Glyburide,Tablet,5mg,
54e1a064-172b-4d3c-ae8e-b78afb368c37,,Glyburide 3mg,Glyburide,Tablet,3mg,
e79df49a-71a6-4169-952c-0225048cb482,,Glyburide 6mg,Glyburide,Tablet,6mg,
8d883d65-9473-46ff-8b14-0ebe1f9a86da,,Ceclor 125mg/5ml,Cefaclor,Powder suspension,125mg/5ml,
a20b435b-a8f8-4727-b2be-bcc5d2befd33,,Rocephin 500mg,Ceftriaxone,Solution,500mg,
91450143-ca6e-46fe-9fff-274be47521db,,Famvir 250mg,Famciclovir,Tablet,250mg,
b257beaf-a967-4822-8f78-9f87be045959,,Minocin 90mg,Minocycline,Tablet,90mg,
ca382f91-17b3-4b54-973e-8ccbdd89b8e1,,Cleocin 300mg,Clindamycine,Tablet,300mg,
9c38ea14-0972-46a9-9dac-76cafbb44971,,Cipro 250mg,Ciprofloxacin,Tablet,250mg,
03f18d86-ac0a-49a6-87bf-e022119301ad,,Cipro 500mg,Ciprofloxacin,Tablet,500mg,
83d98064-593f-4cf9-bec4-c427d4677f7d,,Biaxin 500mg,Clarithromycine,Tablet,500mg,
45e91fa2-5458-4d2f-854b-11f08eb12801,,Solu-Medrol 125mg/5ml,Methylprednisolone,Solution,125mg/5ml,
827f6978-a666-4c58-8218-7388fdcc6fa3,,Visine 0.05%,Tetrahydrozoline,Solution,0.05%,
247b17b0-8fe9-48de-a0f6-4b9a6f1caee8,,Allegra 60mg,Fexofenadine,Tablet,60mg,
14af1c0c-decd-41c0-ba07-95059f167ed2,,Allegra 180mg,Fexofenadine,Tablet,180mg,
3d215e2e-0560-4afc-9023-e1d1088bf484,,Robitussin Adult 200mg/5ml,Guaifenesin,Powder suspension,200mg/5ml,
e42af6eb-e624-402e-bb26-ff2540a390d0,,Tudorza Pressair 400mcg,Aclidinium Bromide,Inhalation,400mcg,
08128635-a443-42af-9b5d-32a2132cef06,,Pulmicort 90mcg,Budesonide,Inhalation,90mcg,
931d1308-a72f-4f3a-a627-63d8b3c8c25d,,Malarone,Atovaquone & Proquanil,Tablet,,
b0918013-25be-420f-b133-a76fbedb3406,,Symbicort 160mcg+4.5mcg,Budesonide & Formoterol,Inhalation,160mcg+4.5mcg,
7c61da9b-9c70-484f-8da7-ca9a45aa56f9,,Ultracet 37.5mg+325mg,Tramadol & Acetaminophen,Tablet,37.5mg+325mg,
ed9e55d8-eb78-4e2f-bc57-d5107ac1481c,,Amoxicillin 125mg/5ml,Amoxicillin & Clauvulanate,Powder suspension,125mg/5ml,
d3916ced-81fa-455f-bac7-f0afed65d9b1,,Tobradex 0.3%+0.1%,Tobramycin & Dexamethasone,Solution,0.3%+0.1%,
4bc64ce7-18a8-460a-9314-0f89e4ca2d0b,,Bactrim 160mg+800mg,Sulfamethoxazole & Trimethoprim,Tablet,160mg+800mg,
8f04e3bf-60da-4e53-a577-f5fac65ec25e,,Augmentin 600mg+42.9mg/75ml,Amoxicillin & Clauvulanate,Powder suspension,600mg+42.9mg/75ml,
e6f2566d-610f-4d78-a3d5-e086d6742c51,,Advair 500mg+50mg,Fluticasone & Salmeterol,Inhalation,500mg+50mg,
1281857e-3426-4ca4-ae06-cd35cb4e0e01,,Breo 80mg+4.5mg,Fluticasone Furoate & Vilanterol,Inhalation,80mg+4.5mg,
51717134-b03a-4951-9e67-9fc56a920a24,,Hydrocortisone + Acetic Acid Otic,Hydrocortisone & Acetic Acid,Solution,,
6a455315-51b3-41db-9e5d-ee03c2ad3cdb,,Augmentin 250mg+62.5mg/5ml,Amoxicillin & Clavulanate,Powder suspension,250mg+62.5mg/5ml,
2ddaae26-c352-4245-a1d5-b8884068d17b,,Augmentin 600mg+42.9mg/125ml,Amoxicillin & Clavulanate,Powder suspension,600mg+42.9mg/125ml,
f2736658-a69e-45e0-b289-e771ec86fc0c,,Advair 250mg+50mg,Fluticasone & Salmeterol,Inhalation,250mg+50mg,
a116c770-3d2e-4139-b670-45e021fede4e,,Advil 400mg,Ibuprofen,Tablet,400mg,
3e804780-c538-4800-ab4d-da7f710dc4cd,,Advil 600mg,Ibuprofen,Tablet,600mg,
62e89330-c656-44dc-bcf9-a7c90111e8c3,,Albenza 200mg,Albendazole,Tablet,200mg,
e2dc4a41-7f0b-44c7-ac3a-676939f176ef,,Alclometasone 0.05%,Corticosteroid,Cream,0.05%,
a8b5bd1d-867a-4159-b585-13fe1bd59dce,,Amoxicillin 250mg,Amoxicillin,Tablet,250mg,
0e99b832-3cad-4039-bfb5-0c2f55906f8a,,Amoxicillin 250mg/5ml,Amoxicillin & Clauvulanate,Powder suspension,250mg/5ml,
9e99eb20-5172-433a-ba7e-669b0f2af50b,,Amoxicillin 400mg/5ml,Amoxicillin & Clauvulanate,Powder suspension,400mg/5ml,
a722710f-403b-451f-804b-09f8624b0838,,Aspirin 162.5mg,Aspirin en,Tablet,162.5mg,
20e0d495-b906-405e-9cc7-1a18e14a5612,,Atenolol 100mg,Tenormin,Tablet,100mg,
8b8aceae-7a1e-49d1-823a-ae657ea4184f,,Atenolol 25mg,Tenormin,Tablet,25mg,
41acb9e7-5737-41fb-8931-746355fc0beb,,Atenolol 75mg,Tenormin,Tablet,75mg,
93ac42d5-b121-4e7c-9f80-37f50bcaff64,,Bacitracin 500U/g,Bacitracin,Cream,500U/g,
1a9438b3-0cfb-4bef-b4fc-dc4324bb4134,,Benadryl 25mg,Diphenhydramine,Tablet,25mg,
fcc75458-0d8e-4921-b6a8-baf5a7e26d8e,,Benadryl 50mg,Diphenhydramine,Tablet,50mg,
02005fc7-625e-40de-bfbe-872f85b48e07,,Betamethasone 0.05%,Corticosteroid,Cream,0.05%,
19bf89f5-6f1b-4b11-82b7-686d619f5667,,Biaxin 250mg,Clarithromycine,Tablet,250mg,
8c855783-fc73-4b3a-a415-4ca6a2b9560e,,Captopril 12.5mg,Captopril,Tablet,12.5mg,
864df3a3-cbda-48d7-86fb-6059b6db713b,,Captopril 25mg,Captopril,Tablet,25mg,
d9d1d81a-ab7c-47f5-9dbc-f837b82b4a30,,Captopril 50mg,Captopril,Tablet,50mg,
bb8a1afa-9dbc-477d-93b3-411f03f742f7,,Ceclor 250mg/5ml,Cefaclor,Powder suspension,250mg/5ml,
40c49aab-41f0-4782-a1c7-88d190e4ffae,,Ceftin 125mg/5ml,Cefuroxime,Tablet,125mg/5ml,
a6bb9b34-7417-4602-b2c4-62f8559c0ef9,,Chloroquine 250mg,Chloroquine phosphate,Tablet,250mg,
28137a3d-215c-4b8f-bda1-ee13e5bb4bd5,,Chloroquine 500mg,Chloroquine phosphate,Tablet,500mg,
372d5752-dc7b-487e-b450-e7cdabacef50,,Cipro 750mg,Ciprofloxacin,Tablet,750mg,
2976fb3e-a020-4a29-8424-878928607e01,,Claritin 10mg,Loratadine,Tablet,10mg,
3e14295d-63f7-4876-8767-cf93f9c6ca68,,Claritin 5mg/5ml,Loratadine,Powder suspension,5mg/5ml,
b4abf73f-d647-49a7-9957-a16983d8b211,,Cleocin 150mg,Clindamycine,Tablet,150mg,
8035131f-4346-481b-b746-84837e900781,,Cleocin 450mg,Clindamycine,Tablet,450mg,
c76ca2a3-c70e-42cd-9618-500ebf3f2474,,Deltasone 10mg,Prednisone,Tablet,10mg,
8a9fdf80-2caa-407d-96a7-a5701a140e6a,,Deltasone 20mg,Prednisone,Tablet,20mg,
c259b78f-6dac-4749-a21f-935646bc3c0d,,Deltasone 40mg,Prednisone,Tablet,40mg,
efb8b933-04cc-4f2f-8499-94a8b7b58027,,Deltasone 5mg,Prednisone,Tablet,5mg,
22ce4524-954e-41c2-a995-91ef80cad806,,Diclofenac 50mg,Diclofenac,Tablet,50mg,
fb1509f8-0287-4111-a58c-e4f48fa6575d,,Diflucan 100mg,Fluconazole,Tablet,100mg,
f32f7a3f-d27f-412d-a91c-d8d99fad464e,,Diflucan 150mg,Fluconazole,Tablet,150mg,
f944281f-8655-4897-9fdb-6cc038d094f9,,Erythromycin 125mg/5ml,Erythromycin estolate,Powder suspension,125mg/5ml,
7a6c2021-7be0-46eb-bc03-b88b6d2f5ba6,,Erythromycin 250mg/5ml,Erythromycin estolate,Powder suspension,250mg/5ml,
ef56eef4-8be8-4c7b-af5b-38577d7b0e96,,Eucerin,Emollient Lotion,Lotion,,
89e1bd4d-2d1e-4c1b-92ca-1d997943020d,,Flagyl 500mg,Metronidazole,Tablet,500mg,
f6f88eca-f59c-4859-8a7a-d005a59691ce,,Flexeril 10mg,Cyclobenzaprine,Tablet,10mg,
52b9f66b-cb47-487a-9452-00e036fe1dd8,,Flonase 50mcg,Fluticasone spray,Gas,50mcg,
6b8a0e60-09ee-4d93-b46a-3ab8cab22b29,,Gatorade,Oral rehydration therapy,Solution,\N,
1fb6be75-14f1-4171-af87-2a7fb223a806,,Gentamicin 0.3%,Gentamycin,Solution,0.30%,
85dc7fa9-2cbb-42ca-a7a8-244465f4f737,,Gentian Violet 1%,Gentian Violet,Solution,1%,
3e4dbab0-674c-4660-999c-09a67520451a,,HCTZ 12.5mg,Hydrochlorothiazide,Tablet,12.5mg,
9a0b84c9-6c80-4fc0-9764-43a870b2a432,,Hydrocortisone 1%,Hydrocortisone,Cream,1%,
f116a3d6-3019-4e7c-9a1f-42c681144a31,,Hydrocortisone 2.5%,Hydrocortisone,Cream,2.50%,
c15080cf-f142-46be-8dd3-7193958c4e93,,Inderal IR 10mg,Propranolol hydrochloride,Tablet,10mg,
22e9616c-b0c0-4d3e-95e9-173750386d61,,Inderal IR 20mg,Propranolol hydrochloride,Tablet,20mg,
23e8de30-5b3c-4371-a185-200556fa0951,,Inderal IR 40mg,Propranolol hydrochloride,Tablet,40mg,
997f4df8-0cdd-47bc-ba71-a01c6bcd3b89,,Inderal IR 60mg,Propranolol hydrochloride,Tablet,60mg,
ec734d5e-53c3-4d59-8c3a-3ce9c9360bc9,,Iron IR 325mg,Ferrous sulfate,Tablet,325mg,
9bab903e-6312-4c6a-95dc-149c86e752ad,,Lasix 10mg,Furosemide,Tablet,10mg,
db08ac66-5b79-4e29-a799-6c9b76d3c40b,,Lasix 40mg,Furosemide,Tablet,40mg,
7edcd7d4-ca9f-45f8-b591-bcf0985e7213,,Lasix 60mg,Furosemide,Tablet,60mg,
cf76df0e-4571-4f7a-9a66-cb7122134077,,Lasix 80mg,Furosemide,Tablet,80mg,
39c32716-b384-4dd8-84c7-324786e015b3,,Levaquin 500mg,Levofloxacin,Tablet,500mg,
d88a415d-1532-4d6e-9b47-b0264aa84485,,Metro-gel 0.75%,Metronidazole,Cream,0.75%,
92e5fe31-7eb4-4bdc-a245-e359715eee0e,,Motrin Chilren's 100mg/5ml,Ibuprofen,Powder suspension,100mg/5ml,
5939e5cd-cc6e-470a-bd7d-d1353e9174be,,Motrin Infant's 50mg/1.25ml,Ibuprofen,Powder suspension,50mg/1.25ml,
9dcd95b2-afe2-4d51-8b88-17211966fd65,,Neosporin,Triple antibiotic,Cream,,
c6308b9c-00f1-476c-aa61-745bb26e0f71,,Neurontin 300mg,Gabapentin,Tablet,300mg,
294c26b6-a5c8-454e-b9b7-16d103584b3d,,Neurontin 600mg,Gabapentin,Tablet,600mg,
9a118208-e8a4-4af2-bb3a-f0bf02649e75,,Neurontin 900mg,Gabapentin,Tablet,900mg,
d63618a1-258b-40e2-b46a-50130d9a4573,,Norvasc 2.5mg,Amlodipine,Tablet,2.5mg,
b3540868-910d-456c-8cba-459f4b5fe9ff,,Pepcid 20mg,Famotidine,Tablet,20mg,
c36a8c91-0c4d-4be3-950b-f5f07428a816,,Pepcid 40mg,Famotidine,Tablet,40mg,
84945f45-3a3c-4d57-bc34-b474cf7ad612,,Prevacid 15mg,Lansoprazole,Tablet,15mg,
b73ac801-cf29-4e21-a2b2-a5288222d34c,,Prevacid 30mg,Lansoprazole,Tablet,30mg,
5a244df6-7cee-44da-89b0-f9bf732ffbed,,Proscar 1mg,Finasteride,Tablet,1mg,
1baa0c9d-5c1b-4673-bc8b-732c556c7c68,,Proscar 5mg,Finasteride,Tablet,5mg,
7a4861ec-81ab-4989-95b6-df5a9bd16651,,Protonix 40mg,Pantoprazole,Tablet,40mg,
e61b5364-5d97-40bd-9557-a555f232fc43,,Proventil 200mcg,Albuterol,Inhalation,200mcg,
b8655f3b-ec83-418a-b767-54c053fbd743,,Proventil 400mcg,Albuterol,Inhalation,400mcg,
c9544877-0a60-462f-9b7c-c8bb57380831,,Pulmicort Flexhaler 180mcg,Budesonide,Inhalation,180mcg,
70e97a3d-0084-400a-aace-50b50dc04ed4,,Pulmicort Flexhaler 360mcg,Budesonide,Inhalation,360mcg,
e1a092b6-10f6-438e-aa6d-2b0d1059403e,,Rocephin 2g,Ceftriaxone,Solution,2g,
bc56515a-cfb0-4dcd-a6e6-351e3bf1154c,,Saline flush 0.9%,Saline flush,Solution,0.90%,
cd228fc7-699d-4d47-a11f-9e72c8e940f1,,Spiriva HandiHaler 18mcg,Tiotropium powder,Inhalation,18mcg,
88b343c0-a9e9-4b45-b57e-cc7014ab7f34,,Sulfacetamide 0.1,Sulfacetamide,Solution,10%,
29050ed9-d91e-4ced-8d18-8d37f5d55be2,,Tylenol 500mg,Acetaminophen,Tablet,500mg,
9d3011b1-5be6-47b0-825b-851ad385c6d9,,Tylenol Chilren's 160mg/5ml,Acetaminophen,Powder suspension,160mg/5ml,
07a5d160-973c-422b-89db-9aeddd8d70a1,,Voltaren 1%,Voltaren,Cream,1%,
b7c41b8b-aa72-4749-9649-2684488a9406,,Zestril 10mg,Lisinopril,Tablet,10mg,
d6f041d9-cf9b-4208-87fa-355a4ef6fcaa,,Zofran 8mg,Odansetron hydrochloride,Tablet,8mg,
3cff7277-8c40-40fe-bdee-79c04376447b,,Zyrtec 10mg,Cetirizine,Tablet,10mg,
1f00446e-7247-4c01-88b3-8ca215e29e23,,Zyrtec 1mg/1ml,Cetirizine,Powder suspension,1mg/1ml,
2c9027fa-3723-491c-bbed-8989f0d4dabe,,Acetasol 1%+2%,Hydrocortisone & Acetic Acid,Solution,1%+2%,
c6f97741-1f9c-4b25-8af1-dcf3fe720d7a,,Bactoclav 500mg+125mg,Amoxicillin & Clauvulanic Acid,Tablet,500mg+125mg,
cd280c73-ebfd-4213-8706-3ebce0019156,,Breo 100mcg+25mcg,Fluticasone Furoate & Vilanterol,Inhalation,100mcg+25mcg,
e153441b-af4a-4fcf-aa7f-3bc2419520fa,,Breo 200mcg+25mcg,Fluticasone Furoate & Vilanterol,Inhalation,200mcg+25mcg,
3ac7c011-1168-4eb6-b071-6ee11d1e2b24,,Combivent 18mcg+103mcg,Iptratropium bromide & albuterol,Inhalation,18mcg+103mcg,
c5551705-ce62-4054-97e1-7eba697c0b77,,Malarone 1g+400mg,Atovaquone & Proquanil hydrochloride,Tablet,1g+400mg,
6bea54c9-97d5-4a9b-90fe-ee5ac2a9dd1c,,Malarone 250mg+100mg,Atovaquone & Proquanil hydrochloride,Tablet,250mg+100mg,
0ade342f-abe3-4195-bcf4-16e2b502da26,,Proventil 2.5mg,Albuterol,Inhalation,2.5mg,
9bb16770-8205-4360-b7e3-86d2d4cf08fb,,Rocephin 250mg,Ceftriaxone,Solution,250mg,
2819e041-6657-4a27-8472-07563eb6038f,,Acétaminophene Sirop 120mg/5ml,Acetaminophen,Powder suspension,120mg/5ml,
b89f03d9-a61b-4d4e-9636-5b28fdef4525,,Acétaminophene Co 500mg,Acetaminophen,Tablet,500mg,
b61b29d2-41ee-4079-8fbb-a054596b7ae1,,Acétaminophene Gtts 60mg/ml,Acetaminophen,Powder suspension,60mg/ml,
b5b194a3-efc9-47b0-8406-db87092c23e2,,Rapidal Plus 162.5mg+100mg,Ibuprofen & Paracetamol,Powder suspension,162.5mg+100mg,
4eb11496-3275-4087-ab5c-b1e4ea885e99,,Acide Folique Co 5mg,Folic Acid,Tablet,5mg,
123c4342-552a-4db9-bb0b-a7d0bd2e5849,,Acyclovir Co 400mg,Acyclovir,Tablet,400mg,
45aaf344-e567-4716-be52-4a7a642305c1,,Acyclovir Sirop 200mg,Acyclovir,Powder suspension,200mg,
a74fe93c-b023-4159-8bd6-5d40a0909636,,Acyclovir creme 3%,Acyclovir,Cream,3%,
22269776-0866-4d7f-b4f6-901d31531f83,,Acyclovir ophtalmique 5%,Acyclovir,Cream,5%,
77addc86-5036-4a82-b722-826635e1ce0b,,Adrenaline Injection 1mg,Adrenaline,Injectable,1mg,
37302e59-9824-4ec3-a8f7-6b491a5ee183,,Albendazole Co 400mg,Albendazole,Tablet,400mg,
7bf6328a-4194-484e-846f-a98bd41634e8,,Albendazole Sirop 400mg/10ml,Albendazole,Powder suspension,400mg/10ml,
39a96958-781f-4d84-a9e8-56f6dfbf9061,,Albuterol Inhalation 2.5mg/3ml,Albuterol,Inhalation,2.5mg/3ml,
c3fb68d0-ba3d-4b94-bcb8-b2286d9b0358,,Alpha Métyl Dopa Co 250mg,Alpha Methyl Dopa,Tablet,250mg,
58a9f6d0-1092-4c9c-b195-fbd7e43b39dd,,Aminovit Gtts,Amino Acids and Vitamins,Powder suspension,N/A,
c91f7481-cb7b-40ad-92cc-e8f54534de29,,Amlodipine Co 10mg,Amlodipine,Tablet,10mg,
1eebc619-5593-44be-9057-041df86b06ae,,Amoxycilline Sirop 125mg,Amoxicillin,Powder suspension,125mg,
d879219a-a74d-4a4a-a893-ebeb5594c629,,Amoxycilline Co 500mg,Amoxicillin,Tablet,500mg,
a0f54b5b-0eda-49aa-82be-3634df0de78f,,Ampiciline Injection vial 1g,Ampicillin,Injectable,vial 1g,
c3e48c79-8b02-4442-9480-8f656a353b89,,Othorinol Gouttes 30mg,Antipyrine,Solution,30mg,
8e89914e-560b-4ac1-851c-ffeb54cb677f,,Apetamine Sirop,Apetamine,Powder suspension,N/A,
a42089dd-e91e-49a3-8c17-8571f2e5a404,,Apressoline Injection vial 20mg,Apressoline,Injectable,vial 20mg,
02dd2a8e-1a8f-49cb-bc06-daf9e1af16ba,,Aspirin Co 81mg,Aspirin en,Tablet,81mg,
dae4050d-c309-4a20-a62e-e84d192e1e87,,Atenolol Co 50mg,Atenolol,Tablet,50mg,
2e2bf852-a920-41cd-bc27-65f1da248045,,Azythromycine Co 500mg,Azithromycin,Tablet,500mg,
4f93c00b-cf6e-48a1-b1da-ab3551915e25,,Bebe Sirop,Bebe Sirop,Powder suspension,N/A,
c872abc2-47ed-4eb2-bd6e-b6dbf6d6a95f,,Benzyl Benzoate Lotion 25%,Benzyl Benzoate,Lotion,25%,
3f9e7636-7443-45bf-a3fb-fd0530d3d43a,,Bromexhine Sirop 4mg/5ml,Bromhexine,Powder suspension,4mg/5ml,
1d153d70-219e-4683-96c2-c1337a2eea85,,Calamine lotion,Calamine,Lotion,N/A,
1483054c-f2e7-499c-adf2-7c9a51ccc055,,Captopril Co 25mg,Captopril,Tablet,25mg,
368866e6-0b82-4049-8f10-9fc2bbf43066,,Ceftriaxone Injection vial 1g,Ceftriaxone,Injectable,vial 1g,
da1aafd5-78a3-4848-8057-63a424b0aead,,Chloroquine Sirop 25mg/5ml,Chloroquine,Powder suspension,25mg/5ml,
588c4abc-3b4b-43c8-a55f-5e80b2c90f1e,,Chloroquine Co 250mg,Chloroquine,Tablet,250mg,
9b305550-beb8-4c7b-a800-caab72438430,,Ciprofloxacin Co 500mg,Ciprofloxacin,Tablet,500mg,
ee3e761a-3d43-4c51-98a3-cc2bd94946b6,,Clarithromycine Co 500mg,Clarithromycine,Tablet,500mg,
1a2354cb-3a85-4af9-8f36-d5146bda46a1,,Cloxacilline Co 500mg,Cloxacillin,Tablet,500mg,
ea44b958-6805-40ad-a6e3-7b67aa2fe0d1,,Cloxacilline Sirop 250mg/5ml,Cloxacillin,Powder suspension,250mg/5ml,
1cd391d8-ed72-4c61-a203-faf40bee6921,,Augmentin Co 625mg,Co-Amoxiclav,Tablet,625mg,
f0ab1781-bf08-4c5e-9b32-2d51e1d5a38c,,Bactoclav Sirop 312.5mg,Co-Amoxiclav,Powder suspension,312.5mg,
eb4fedd3-154d-43f8-ad6c-d89930b1e175,,Dexamethasone Injection vial 8mg,Dexamethasone,Injectable,vial 8mg,
ec535874-98d9-463c-a12a-42fa070c2f22,,Dextrose Normal Saline 0.9%,Dextrose & Normal Saline (DNS),Solution,0.90%,
3bc9e3a2-c85a-488b-b9a7-8e5fcafe2f81,,Dextrose Normal Saline 0.45%,Dextrose & Normal Saline (DNS),Solution,0.45%,
f6438215-66a1-4e8f-a57a-b747981fd8f6,,Dextrose Water 5%,Dextrose,Solution,5%,
f8e266ec-24c9-4f64-89b0-33f1a052bd57,,Dextrose Water 10%,Dextrose,Solution,10%,
