Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Answers,Members,Complex data handler,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
9afafe44-e017-47de-9445-4f4b0e448df9,,,Sputum Analysis,Crachat,Sputum Analysis,Crachat,,,Test,Text,,,,,,,,,,,
14fcec2c-3270-4b6f-974d-b237a62ee29a,,,Creatinine Kinase (CK),Créatinine Kinase (CK),Creatinine Kinase (CK),Créatinine Kinase (CK),,,Test,Text,,,,,,,,,,,
665d4e20-2fd5-4c73-9c77-dded5164b8c8,,,Creatinine Kinase MB,Créatinine Kinase MB,Creatinine Kinase MB,Créatinine Kinase MB,,,Test,Text,,,,,,,,,,,
5384cbbf-717b-4d18-b300-f34606a5b73c,,,C-reactive protein,CRP,CRP,CRP,,,Test,Text,,,,,,,,,,,
97685dc5-db61-471d-a11e-4e5ec8d470f4,,,ECBC des Liquides (TP-ALB-LDH-GLU-WBC-RBC-Diff…),ECBC des Liquides (TP-ALB-LDH-GLU-WBC-RBC-Diff…),ECBC des Liquides (TP-ALB-LDH-GLU-WBC-RBC-Diff…),ECBC des Liquides (TP-ALB-LDH-GLU-WBC-RBC-Diff…),,,Test,Text,,,,,,,,,,,
f4ca3fa3-f2c1-47f2-9344-a6e2f82fc8b3,,,Iron (Fe),Fer (Fe),Iron (Fe),Fer (Fe),,,Test,Text,,,,,,,,,,,
41737137-c9b5-4410-9b33-0ee8039908b7,,,Filariasis test (Day),Filaire test Diurne,Filariasis test (Day),Filaire test Diurne,,,Test,Text,,,,,,,,,,,
785b40ec-5829-46b2-8bb8-e808f8621501,,,Filariasis test (Night),Filaire test Nocturne,Filariasis test (Night),Filaire test Nocturne,,,Test,Text,,,,,,,,,,,
9630356e-0543-4b05-b442-98748ee7a16f,,,Urethral Swab (Wet Mount),Frottis Uretral + Goutte pendante,Urethral Swab (Wet Mount),Frottis Uretral + Goutte pendante,,,Test,Text,,,,,,,,,,,
166f683e-7610-49d9-8a99-ff3cd3863291,,,Vaginal Swab (Wet Mount),Frottis Vaginal + Goutte pendante,Vaginal Swab (Wet Mount),Frottis Vaginal + Goutte pendante,,,Test,Text,,,,,,,,,,,
7478a8d3-f42d-4c3f-934b-6a6ff1dcd912,,,White Blood Cells,Globules Blanches,White Blood Cells,Globules Blanches,,,Test,Text,,,,,,,,,,,
3c9cb504-2664-45c9-bfd4-680e2f9bb431,,,Red Blood Cells,Globules Rouges,Red Blood Cells,Globules Rouges,,,Test,Text,,,,,,,,,,,
9b10ba90-0463-4000-8a0c-4c9b3816c288,,,Plasma Blood Sugar,Glycemie Plasmatique,Plasma Blood Sugar,Glycemie Plasmatique,,,Test,Text,,,,,,,,,,,
3448df1c-68c0-4921-8dcf-36f5eeff4343,,,Capillary Blood Sugar,Glycemie Capillaire,Capillary Blood Sugar,Glycemie Capillaire,,,Test,Text,,,,,,,,,,,
5dd677c5-ca41-465d-ad38-b2310954105c,,,Gravindex,Gravindex,Gravindex,Gravindex,,,Test,Text,,,,,,,,,,,
478de4a8-6585-4d7e-93b3-6c66cda9afa5,,CIEL:690,A+,A+,A+,A+,,,Misc,N/A,,,,,,,,,,,
0733738d-32d5-48fa-9249-ff888f167499,,CIEL:692,A-,A-,A-,A-,,,Misc,N/A,,,,,,,,,,,
fd1f3fb8-f9dd-4494-95ba-81e9065c1429,,CIEL:694,B+,B+,B+,B+,,,Misc,N/A,,,,,,,,,,,
d42f34a2-d7bc-42ad-9d40-c9ada575135e,,CIEL:696,B-,B-,B-,B-,,,Misc,N/A,,,,,,,,,,,
73b5b6f6-6b66-411e-8c2e-961769f40e6f,,CIEL:699,O+,O+,O+,O+,,,Misc,N/A,,,,,,,,,,,
1d95d21e-bc52-4e46-a1c7-8fca84eb437d,,CIEL:701,O-,O-,O-,O-,,,Misc,N/A,,,,,,,,,,,
5fc5b7c7-1460-4a56-bc16-46a488671bff,,CIEL:1230,AB+,AB+,AB+,AB+,,,Misc,N/A,,,,,,,,,,,
8b3e74ce-0b01-4b9a-a0bb-7b132ab24bf4,,CIEL:1231,AB-,AB-,AB-,AB-,,,Misc,N/A,,,,,,,,,,,
220d5285-ad5f-449d-b601-bcde944c85fa,,CIEL:300,"Blood Group (ABO, Rh)","Groupe Sanguin (ABO, Rh)","Blood Group (ABO, Rh)","Groupe Sanguin (ABO, Rh)",,,Test,Coded,A+;A-;B+;B-;O+;O-;AB+;AB-,,,,,,,,,,
8722f3af-3690-4194-9221-451b7048a43e,,CIEL:1015,Hematocrit,Hematocrite,Hematocrit,Hematocrite,,,Test,Numeric,,,,Yes,%,37,52,,,,
2aa4c4bc-daae-47a0-a1cf-095f941b6a87,,CIEL:678,White Blood Cell Count,Taux de leucocytes,White Blood Cell Count,Taux de leucocytes,,,Test,Numeric,,,,Yes,/mm3,1000,5000,,,,
a8688067-2cd6-46d1-ba89-de233deee58a,,CIEL:679,Red Blood Cell Count,Taux d’hématies,Red Blood Cell Count,Taux d’hématies,,,Test,Numeric,,,,Yes,/mm3,3500000,5900000,,,,
d9931701-1971-4c96-84ae-0bea7d916735,,CIEL:21,Hemoglobin,Hemoglobine,Hemoglobin,Hemoglobine,,,Test,Numeric,,,,Yes,g/dL,11,18,,,,
cc113e0e-14f6-4d6f-a837-4db76b779179,,CIEL:1022,Neutrophils,Neutrophiles,Neutrophils,Neutrophiles,,,Test,Numeric,,,,Yes,%,50,65,,,,
c94da765-58f0-432b-bb0d-5de494915ce6,,CIEL:1024,Eosinophils,Eosinophiles,Eosinophils,Eosinophiles,,,Test,Numeric,,,,Yes,%,0,4,,,,
7a3e04d9-7337-4591-ba81-e9c83c7183d5,,CIEL:1025,Basophils,Basophiles,Basophils,Basophiles,,,Test,Numeric,,,,Yes,%,0,1,,,,
671d631a-6787-4cda-a664-a87526de3a02,,CIEL:1021,Lymphocytes,Lymphocites,Lymphocytes,Lymphocites,,,Test,Numeric,,,,Yes,%,10,40,,,,
b4f13159-6e74-4420-857f-15a4b538d50a,,CIEL:1023,Monocytes,Monocytes,Monocytes,Monocytes,,,Test,Numeric,,,,Yes,%,2,4,,,,
de9f079d-9172-47fb-8c48-48e0758bf948,,CIEL:1327,Reticulocytes,Taux de reticulocytes,Reticulocytes,Taux de reticulocytes,,,Test,Numeric,,,,Yes,%,0,6,,,,
98194bce-4607-4131-b58f-a3f49e3f5b60,,CIEL:851,Mean Corpuscular Volume,Mean Corpuscular Volume,Mean Corpuscular Volume,Mean Corpuscular Volume,,,Test,Numeric,,,,Yes,Fl,85,95,,,,
fd3a2f03-35c8-47bb-a42d-ca81a61ab23b,,CIEL:1017,Mean Corpuscular Hemoglobin Concentration,Mean Corpuscular Hemoglobin Concentration,Mean Corpuscular Hemoglobin Concentration,Mean Corpuscular Hemoglobin Concentration,,,Test,Numeric,,,,Yes,mg/dL,29,32,,,,
3e87d649-a53d-43a3-bb06-892a2b36d1a3,,CIEL:1018,Mean Corpuscular Hemoglobin,Mean Corpuscular Hemoglobin,Mean Corpuscular Hemoglobin,Mean Corpuscular Hemoglobin,,,Test,Numeric,,,,Yes,Pg,32,36,,,,
31c8da4f-6e32-4174-9945-a2f5b7aa15c9,,CIEL:729,Platelets,Plaquettes Sanguines,Platelets,Plaquettes Sanguines,,,Test,Numeric,,,,Yes,/mm3,150000,400000,,,,
d7c62b0b-f7d2-451c-b980-3515df60489d,,CIEL:1019,Complete Blood Count,Hemogramme Complet,CBC,Hemogramme Complet,,,LabSet,N/A,,Hematocrit;White Blood Cell Count;Red Blood Cell Count;Hemoglobin;Neutrophils;Eosinophils;Basophils;Lymphocytes;Monocytes;Reticulocytes;Mean Corpuscular Volume;Mean Corpuscular Hemoglobin Concentration;Mean Corpuscular Hemoglobin;Platelets,,,,,,,,,
ec7fd2c3-cb77-4fe8-bb35-354fa37de045,,,Hemoglobin Glycolysil (HBA1C),Hemoglobine Glycolysilé(HBA1C),Hemoglobin Glycolysil (HBA1C),Hemoglobine Glycolysilé(HBA1C),,,Test,Text,,,,,,,,,,,
14ea7b4d-6c0d-4eda-a8a2-01d8edb5ecce,,,H-Pylori (Stool),H-Pilori dans les selles,H-Pylori (Stool),H-Pilori dans les selles,,,Test,Text,,,,,,,,,,,
40d9472b-fd37-418f-bd8c-da0942ed523f,,,H-Pylori (Blood),H-Pilori test,H-Pylori (Blood),H-Pilori test,,,Test,Text,,,,,,,,,,,
cbe84fa7-c035-45f8-82a8-5941e9273614,,,Peripheral Blood Smear,Lame Peripherique,Peripheral Blood Smear,Lame Peripherique,,,Test,Text,,,,,,,,,,,
41340e80-7d51-4444-8ad8-d21280994602,,,Lipase,Lipase,Lipase,Lipase,,,Test,Text,,,,,,,,,,,
f5141095-5734-405c-8fd7-12350dfa686d,,,Magnesium (Mg),Magnesium (Mg),Magnesium (Mg),Magnesium (Mg),,,Test,Text,,,,,,,,,,,
92b3b57d-9f9f-4d16-a94d-774c0bd38f15,,,Malaria test,Malaria test,Malaria test,Malaria test,,,Test,Text,,,,,,,,,,,
b3712d70-875a-4ac7-aba2-c14774e55c9e,,,Mantoux test,Mantoux test,Mantoux test,Mantoux test,,,Test,Text,,,,,,,,,,,
b3911053-fa59-4eec-ab3a-a1e791f3de16,,,Panel Cardiaque (CKMB-MYOGLOBINE-TREPONINE),Panel Cardiaque (CKMB-MYOGLOBINE-TREPONINE),Panel Cardiaque (CKMB-MYOGLOBINE-TREPONINE),Panel Cardiaque (CKMB-MYOGLOBINE-TREPONINE),,,Test,Text,,,,,,,,,,,
1e72558f-0554-4c00-a99d-94fd83878fd5,,,Serum Protein,Proteine Serique,Serum Protein,Proteine Serique,,,Test,Text,,,,,,,,,,,
b92fab67-729f-49e6-9fde-6dfd40aa415b,,,Total Protein,Proteine Totale,Total Protein,Proteine Totale,,,Test,Text,,,,,,,,,,,
42c7d71b-5763-4894-aa3a-7fccc378a7d6,,,Prostate-Specific Antigen,PSA,PSA,PSA,,,Test,Text,,,,,,,,,,,
b82b8ee0-62bc-42cc-aae9-5fae283e0e60,,,International Normalized Ratio,PT-INR,PT-INR,PT-INR,,,Test,Text,,,,,,,,,,,
60a512f8-46ab-470c-a8ec-7c7d30255291,,,Rapid Plasma Reagin,RPR,RPR,RPR,,,Test,Text,,,,,,,,,,,
71c5b4ae-5eb2-40a8-be87-3974bac78a95,,,Occult blood,Sang Occulte,Occult blood,Sang Occulte,,,Test,Text,,,,,,,,,,,
a895379e-e2e8-448e-b9a1-4fd99b1af4fd,,,Stool Analysis,Selles,Stool Analysis,Selles,,,Test,Text,,,,,,,,,,,
9aac4d91-2c2a-4dbe-869d-c411868d1d84,,,Sickling test,Sickling test,Sickling test,Sickling test,,,Test,Text,,,,,,,,,,,
880ae565-83e6-424c-b30e-7cfc0d5f9d66,,,Straw Yellow,Jaune paille,Straw Yellow,Jaune paille,,,Misc,N/A,,,,,,,,,,,
dbdf74a2-2825-43c4-9586-592a5f3fbc31,,,Citrus Yellow,Jaune citrin,Citrus Yellow,Jaune citrin,,,Misc,N/A,,,,,,,,,,,
b528eb55-5164-4e60-80d5-271e7ec01bff,,,Amber,Ambre,Amber,Ambre,,,Misc,N/A,,,,,,,,,,,
7ebc1e9e-5699-4c2b-8812-ef99f24f5605,,,Brownish,Brunâtre,Brownish,Brunâtre,,,Misc,N/A,,,,,,,,,,,
6d8fa52d-8b2b-44b8-932e-c18a55a8e9d4,,,Urine Colour,Couleur,Urine Colour,Couleur,,,Test,Coded,Straw Yellow;Citrus Yellow;Amber;Brownish,,,,,,,,,,
4f6dee76-6306-45d7-b13f-dd958686ec47,,CIEL:162102,Clear,Claire,Clear,Claire,,,Misc,N/A,,,,,,,,,,,
2f5c5a75-757d-48bb-abed-c898e1dc9ff5,,CIEL:162103,Slightly Cloudy,Légèrement trouble,Slightly Cloudy,Légèrement trouble,,,Misc,N/A,,,,,,,,,,,
4d001122-f173-4b8f-9f55-ff3089a31810,,CIEL:162104,Turbid,Trouble,Turbid,Trouble,,,Misc,N/A,,,,,,,,,,,
2e654056-fa3e-4dcb-a336-483abcd3a0e0,,CIEL:162101,Urine Appearance,Aspect,Urine Appearance,Aspect,,,Test,Coded,Clear;Slightly Cloudy;Turbid,,,,,,,,,,
8c93eb5a-6389-46c6-b42a-8c5bfd2bf882,,,Density,Densité,Density,Densité,,,Test,Numeric,,,,,,,,,,,
406db7de-1364-44fe-814e-e7e0851cca8b,,,pH,pH,pH,pH,,,Test,Numeric,,,,,,,,,,,
f7b23f50-e122-442d-857d-4a83e7b0cbc3,,,Blood in urine,Sang,Blood in urine,Sang,,,Test,Coded,Yes;No,,,,,,,,,,
278a085f-cccf-41be-9aa2-89f21b816071,,,Nitrites,Nitrites,Nitrites,Nitrites,,,Test,Text,,,,,,,,,,,
cf5d745d-b6b4-4866-aece-af788cb74ff9,,,Acetone Ketone,Acétone Cétone,Acetone Ketone,Acétone Cétone,,,Test,Text,,,,,,,,,,,
72fc2f0d-a3ad-4256-9389-094e462a3a6d,,,Bilirubin,Bilirubine,Bilirubin,Bilirubine,,,Test,Text,,,,,,,,,,,
8ba070ef-c7fc-4669-970e-0d7e899d0165,,CIEL:1369,Urobilinogen,Urobilinogène,Urobilinogen,Urobilinogène,,,Test,Text,,,,,,,,,,,
244bb05b-65e9-4929-9bba-3cfd0650617c,,,Urine Protein,Urine Protéines,Urine Protein,Urine Protéines,,,Test,Text,,,,,,,,,,,
0345d34d-08a1-4693-a184-c80330baf12b,,,Leucocytes,Leucocytes,Leucocytes,Leucocytes,,,Test,Text,,,,,,,,,,,
ef4d5e02-33d5-4783-9494-d7bd7198c889,,,Urine Albumin,Urine Albumine,Urine Albumin,Urine Albumine,,,Test,Text,,,,,,,,,,,
e3363683-3d7d-4dea-8d39-e6e88b3ad74d,,,Bacteria,Bactéries,Bacteria,Bactéries,,,Test,Text,,,,,,,,,,,
1e8391be-516c-4af2-9fa2-92a9d9135faf,,,Epithelial Cells,Cellules épithéliales,Epithelial Cells,Cellules épithéliales,,,Test,Text,,,,,,,,,,,
0555f79e-060c-49a8-8aaf-f0565c09b709,,,Budding Yeasts,Levures bourgeonnates,Budding Yeasts,Levures bourgeonnates,,,Test,Text,,,,,,,,,,,
3c98acaf-0381-483d-b4ba-b73471b6533a,,,Simple Yeasts,Levures simples,Simple Yeasts,Levures simples,,,Test,Text,,,,,,,,,,,
0075fe9b-f6cb-4a0c-a2fd-cb94bd78ef9c,,,Mycelium,Miscelium,Mycelium,Miscelium,,,Test,Text,,,,,,,,,,,
6ad43ddb-f519-40ce-ba16-f7c68076f3be,,,Macrophages,Macrophages,Macrophages,Macrophages,,,Test,Text,,,,,,,,,,,
77e4e7e0-4f97-4376-9d04-bd47e60d7738,,,Kidney Cells,Cellules rénales,Kidney Cells,Cellules rénales,,,Test,Text,,,,,,,,,,,
3c0075f0-9f4b-477a-9a66-4c2d18ddd869,,,Leukocyte Cylinders,Cylindres leucocytaires,Leukocyte Cylinders,Cylindres leucocytaires,,,Test,Text,,,,,,,,,,,
d16a3098-51a8-446a-ae7c-dcae5d7d8915,,,Granular Cylinders,Cylindres granuleux,Granular Cylinders,Cylindres granuleux,,,Test,Text,,,,,,,,,,,
75e12c96-547e-4e91-9173-005d8d182e30,,,Hyaline Cylinders,Cylindres hyalins,Hyaline Cylinders,Cylindres hyalins,,,Test,Text,,,,,,,,,,,
c6c814af-a9e0-45ab-9504-02e7ed09c954,,,Erythrocyte Cylinders,Cylindres érythrocytaires,Erythrocyte Cylinders,Cylindres érythrocytaires,,,Test,Text,,,,,,,,,,,
1c278fde-4f2e-494b-9725-e08a57ea87d8,,,Crystals,Cristaux,Crystals,Cristaux,,,Test,Text,,,,,,,,,,,
0615ff49-4a4e-49e2-8cd0-d01258e58cf4,,CIEL:163648,Trichomonas Vaginalis,Trichomonas vagialis,Trichomonas Vaginalis,Trichomonas vagialis,,,Test,Text,,,,,,,,,,,
5355ed7b-f0ef-47a1-bf2b-c93b8f0303d7,,,Urinalysis,Urines,Urinalysis,Urines,,,LabSet,N/A,,White Blood Cells;Red Blood Cells;Urine Colour;Urine Appearance;Density;pH;Blood in urine;Nitrites;Acetone Ketone;Bilirubin;Urobilinogen;Urine Protein;Leucocytes;Urine Albumin;Bacteria;Epithelial Cells;Budding Yeasts;Simple Yeasts;Mycelium;Macrophages;Kidney Cells;Leukocyte Cylinders;Granular Cylinders;Hyaline Cylinders;Erythrocyte Cylinders;Crystals;Trichomonas Vaginalis,,,,,,,,,
cefdab88-2126-442f-95fc-d7a8a5af94e8,,,Erythrocyte Sedimentation Rate (ESR),Vitesse de Sedimentation (VS),Erythrocyte Sedimentation Rate (ESR),Vitesse de Sedimentation (VS),,,Test,Text,,,,,,,,,,,
ca28bdb2-c032-4b2f-b33f-fd73de27b271,,,Widal,Widal,Widal,Widal,,,Test,Text,,,,,,,,,,,
7f66be56-1d90-46f4-b849-1eeeba4fae21,,,Zeihl,Zeihl,Zeihl,Zeihl,,,Test,Text,,,,,,,,,,,
dbfa32b2-70d4-4a90-9ec0-4e95f500c1a8,,CIEL:1000,Blood,Blood,Blood,Blood,,,LabSet,N/A,,"Uric Acid;Albumin in blood;ALT (SGPT);Amylase;ASO (Antistreptolysine O);AST (SGOT);Blood urea nitrogen;Beta-Human Chorionic Gonadotropin;Total bilirubin;Alkaline Phosphatase;Lactic Acid Dehydrogenase;Liver Functional Tests (AST-ALT-TBil-ALKP-LDH);Cholesterol;Triglyceride;Very low-density lipoprotein cholesterol;Low-density lipoprotein cholesterol;High-density lipoprotein cholesterol;Lipid Profile (Chol-Trig-HDLC-LDL-VLDL);Creatinine (CRSC);Urea;Renal Functional Tests (BUN-Creat-Urée-Acide Urique);Triiodothyronine;Thyroxine;Thyroid Stimulating Hormone;Thyroid Function Tests;Calcium (Ca);Glucose;Blood Chemistry Tests (Glycemie-BUN-Urée-Créatine);Chloride (Cl);Potassium (K);Sodium (Na);Carbon dioxide;Electrolytes Panel (Na, K, Cl, CO₂);Creatinine Kinase (CK);Creatinine Kinase MB;C-reactive protein;ECBC des Liquides (TP-ALB-LDH-GLU-WBC-RBC-Diff…);Iron (Fe);Filariasis test (Day);Filariasis test (Night);White Blood Cells;Red Blood Cells;Plasma Blood Sugar;Capillary Blood Sugar;Blood Group (ABO, Rh);Hematocrit;White Blood Cell Count;Red Blood Cell Count;Hemoglobin;Neutrophils;Eosinophils;Basophils;Lymphocytes;Monocytes;Reticulocytes;Mean Corpuscular Volume;Mean Corpuscular Hemoglobin Concentration;Mean Corpuscular Hemoglobin;Platelets;Complete Blood Count;Hemoglobin Glycolysil (HBA1C);H-Pylori (Blood);Peripheral Blood Smear;Lipase;Magnesium (Mg);Malaria test;Panel Cardiaque (CKMB-MYOGLOBINE-TREPONINE);Serum Protein;Total Protein;Prostate-Specific Antigen;International Normalized Ratio;Rapid Plasma Reagin;Sickling",,,,,,,,,
5650dc3f-6ad6-49d5-83c0-e24fc2bd3cd3,,CIEL:159994,Urine,Urine,Urine,Urine,,,LabSet,N/A,,Gravindex;White Blood Cells;Red Blood Cells;Urine Colour;Urine Appearance;Density;pH;Blood in urine;Nitrites;Acetone Ketone;Bilirubin;Urobilinogen;Urine Protein;Leucocytes;Urine Albumin;Bacteria;Epithelial Cells;Budding Yeasts;Simple Yeasts;Mycelium;Macrophages;Kidney Cells;Leukocyte Cylinders;Granular Cylinders;Hyaline Cylinders;Erythrocyte Cylinders;Crystals;Trichomonas Vaginalis;Urinalysis,,,,,,,,,
3a8302d7-a555-4799-bffb-048b32936d34,,,Skin,Skin,Skin,Skin,,,LabSet,N/A,,Mantoux test,,,,,,,,,
ed73f5a9-1cff-41f3-a28c-5b768472427c,,,Sputum,Sputum,Sputum,Sputum,,,LabSet,N/A,,Sputum,,,,,,,,,
cccd7cd9-de96-428b-b85c-fbc6b4425758,,,Genital Swab,Genital Swab,Genital Swab,Genital Swab,,,LabSet,N/A,,Filariasis test (Night);Urethral Swab (Wet Mount),,,,,,,,,
7d14260b-2000-4863-9d8b-71dcb3a32f36,,CIEL:161451,Stool,Stool,Stool,Stool,,,LabSet,N/A,,H-Pylori (Stool);Occult blood;Stool Analysis,,,,,,,,,
e7c76ec4-945f-4757-a53c-08e42de04813,,,Lab Samples,Lab Samples,Lab Samples,Lab Samples,,,Misc,N/A,,Blood;Urine;Skin Sample;Sputum;Genital Swab;Stool;Histopathology,,,,,,,,,
