Item Code,Price List,Rate,Currency,UOM
161488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,8,USD,Unit
953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,7.1,USD,Unit
161451AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,6.3,USD,Unit
163697AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,5.4,USD,Unit
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,60,USD,Unit
3543c654-0834-4c90-982c-5e277005c15d,Standard Selling,0.5,USD,Tablet
0bd1bf31-b974-421f-854d-b9d463630a2b,Standard Selling,1,USD,Tablet
3af6ca73-f2ee-43ff-8464-fa00bf525e9b,Standard Selling,0.5,USD,Tablet
143c0048-33d5-46e6-b7b9-85b12769b629,Standard Selling,1,USD,Tablet
9c257346-524c-4eef-bcf3-2cf4b472b2a8,Standard Selling,0.5,USD,Tablet
fb601ad7-ffb6-4624-8f64-93522bb8d4ac,Standard Selling,1,USD,Tablet
a8dd3068-cd3b-4af3-a33d-616279b29db5,Standard Selling,0.9,USD,Tablet
340c9cdf-97fe-497f-9d0d-d66b8552aa25,Standard Selling,0.94,USD,Tablet
124a4a8e-f920-4898-b3d0-6d463b1c3db2,Standard Selling,0.99,USD,Tablet
eca6b8c2-5b46-4a94-a7d9-24722be131b8,Standard Selling,1.03,USD,Tablet
d8fdc1b7-e393-45e8-8a64-dc95e57f89f4,Standard Selling,1.07,USD,Tablet
c3fccbc6-565e-4c2c-b1aa-bba217fd212e,Standard Selling,1.11,USD,Tablet
6ca6fa54-5b32-4d64-a66c-542c0889f840,Standard Selling,1.16,USD,Tablet
09e58895-e7f0-4649-b7c0-e665c5c08e93,Standard Selling,1.2,USD,Tablet
38087db3-7395-431f-88d5-bb25e06e33f1,Standard Selling,1.24,USD,Tablet
8d4d2102-52a5-445d-9e0f-462d8967336a,Standard Selling,1.29,USD,Tablet
c0a931b7-c900-45fe-b672-b78a00f41ed2,Standard Selling,1.33,USD,Tablet
12da54e5-294a-4be2-834c-4ffd996a5bf6,Standard Selling,1.37,USD,Tablet
fc882328-40ef-4fa3-852f-81f69fcf954f,Standard Selling,1.41,USD,Tablet
0adc85cf-de4e-4c4b-a483-d8586f19626b,Standard Selling,1.46,USD,Tablet
d5d560bc-e481-4874-93d0-a1023d1ce766,Standard Selling,0.5,USD,Tablet
45395ed4-63b2-43d2-af2a-23f4dc8e1b9e,Standard Selling,1,USD,Tablet
a8e05fa5-d9be-49ae-b266-cf9a4e2f2d60,Standard Selling,0.5,USD,Tablet
d6a60960-b4df-4ab0-a231-1c3fcc8414e1,Standard Selling,1,USD,Tablet
af4be8ee-45b3-47e3-a32e-1c3bfb2e6f61,Standard Selling,0.5,USD,Tablet
912e4679-7758-403e-8441-5b528561f7bc,Standard Selling,1,USD,Tablet
2949ec94-0e60-4a99-b699-e36daa665033,Standard Selling,0.9,USD,Tube
f691c1c4-1fe3-4fd5-afbf-2167ad241164,Standard Selling,0.94,USD,Tube
4125aa3e-4b43-41c2-99a3-00bb71978084,Standard Selling,0.99,USD,Tube
5363a53f-a3c2-4a29-b7f0-a4b075052e5e,Standard Selling,1.03,USD,Tablet
5449d13a-591f-4840-9739-870966625f0f,Standard Selling,1.07,USD,Tablet
12dd160a-2ab4-4b95-900c-40ebf6ccc55f,Standard Selling,1.11,USD,Tablet
76a434fd-df90-4b19-ba47-26ddd7a00437,Standard Selling,1.16,USD,Tablet
56034516-35a4-4bca-826e-df42008ebeed,Standard Selling,1.2,USD,Tablet
396c0447-c8e2-4f2f-a9a1-b664efe352ea,Standard Selling,1.24,USD,Vial
a8355c83-31db-4089-a962-512e35097ef0,Standard Selling,1.29,USD,Tablet
c554ffb2-5706-4623-a89a-008366cd564c,Standard Selling,1.33,USD,Tablet
8dd89c2e-b45b-4fea-98d5-f6b9f02247c1,Standard Selling,1.37,USD,Tablet
94c9f33b-ffe9-466b-8090-77cd3d5334f0,Standard Selling,1.41,USD,Vial
dfc7e569-4e44-4b11-bc7f-4d0d7b768fd4,Standard Selling,1.46,USD,Nebulizer
0ba092a4-3fc1-4d45-a2cb-c7eaf95d6ebd,Standard Selling,0.5,USD,Nebulizer
83d3ac4b-1aa8-40bb-83dd-7381a2876dc1,Standard Selling,1,USD,Nebulizer
8833d035-ac2d-4d23-b5cc-720ebfee1533,Standard Selling,0.5,USD,Nebulizer
e8b79172-45cd-40ce-9ca8-0a6a652bb47e,Standard Selling,1,USD,Tablet
1fc3e5e1-85dd-4a1e-88fa-5f57e07d727d,Standard Selling,0.5,USD,Teaspoon
aae13cbd-1509-4e4d-9b5a-ce6139fb74c2,Standard Selling,1,USD,Tablet
311f1a89-0c75-4b34-bc88-00f2edee9400,Standard Selling,0.5,USD,Tablet
8dd28534-a357-4617-8909-2160f7fd7e4c,Standard Selling,1,USD,Tablet
277024fa-a41d-4655-8485-a44ef683c41f,Standard Selling,0.5,USD,Tablet
e3a59ed6-c9b9-4bb0-922d-25fc6aa74043,Standard Selling,1,USD,Tablet
52128175-f648-4a4b-bb2d-4d7a97ea4b6e,Standard Selling,0.5,USD,Container
28dc1ebd-945e-4795-9060-5c60ffb5a577,Standard Selling,1,USD,Tablet
b9f17974-47ba-430f-9a17-352f50241e90,Standard Selling,0.9,USD,Tablet
dec17cc7-f772-4814-ae9c-49007d644092,Standard Selling,0.94,USD,Tablet
c695f96f-32dd-47fe-9877-059ee337bea0,Standard Selling,0.99,USD,Tablet
637499ff-1c54-4722-ba57-3e41b3d22a49,Standard Selling,1.03,USD,Tube
47453ba1-85f2-4c78-b1c7-8b3c79e40df2,Standard Selling,1.07,USD,Tube
2f6bc24e-bd9e-4520-a6ba-f999ef7cbafd,Standard Selling,1.11,USD,Tube
f321c087-0a5b-48c1-a605-3954e6159b86,Standard Selling,1.16,USD,Vial
63e5f917-ce97-47c4-8423-126bd798636e,Standard Selling,1.2,USD,Vial
856c6ba9-201e-4022-a4b4-6d8aafeff7fd,Standard Selling,1.24,USD,Tablet
60508974-752a-4960-b0be-f0e6aa6da64b,Standard Selling,1.29,USD,Tablet
4e920e87-ac86-42ec-ab72-7b55d51e1a29,Standard Selling,1.33,USD,Tablet
b6a421fd-50f2-4ed7-b687-23d985e42a50,Standard Selling,1.37,USD,Tablet
ab1a18bd-926d-48f3-8006-16314952698b,Standard Selling,1.41,USD,Tablet
54e1a064-172b-4d3c-ae8e-b78afb368c37,Standard Selling,1.46,USD,Tablet
e79df49a-71a6-4169-952c-0225048cb482,Standard Selling,0.5,USD,Tablet
8d883d65-9473-46ff-8b14-0ebe1f9a86da,Standard Selling,1,USD,Vial
a20b435b-a8f8-4727-b2be-bcc5d2befd33,Standard Selling,0.5,USD,Vial
91450143-ca6e-46fe-9fff-274be47521db,Standard Selling,1,USD,Tablet
b257beaf-a967-4822-8f78-9f87be045959,Standard Selling,1,USD,Tablet
ca382f91-17b3-4b54-973e-8ccbdd89b8e1,Standard Selling,0.9,USD,Tablet
9c38ea14-0972-46a9-9dac-76cafbb44971,Standard Selling,0.94,USD,Tablet
03f18d86-ac0a-49a6-87bf-e022119301ad,Standard Selling,0.99,USD,Tablet
83d98064-593f-4cf9-bec4-c427d4677f7d,Standard Selling,1.03,USD,Tablet
45e91fa2-5458-4d2f-854b-11f08eb12801,Standard Selling,1.07,USD,Vial
827f6978-a666-4c58-8218-7388fdcc6fa3,Standard Selling,1.11,USD,Vial
247b17b0-8fe9-48de-a0f6-4b9a6f1caee8,Standard Selling,1.16,USD,Tablet
14af1c0c-decd-41c0-ba07-95059f167ed2,Standard Selling,1.2,USD,Tablet
3d215e2e-0560-4afc-9023-e1d1088bf484,Standard Selling,1.24,USD,Vial
e42af6eb-e624-402e-bb26-ff2540a390d0,Standard Selling,1.29,USD,Nebulizer
08128635-a443-42af-9b5d-32a2132cef06,Standard Selling,1.33,USD,Nebulizer
931d1308-a72f-4f3a-a627-63d8b3c8c25d,Standard Selling,1.37,USD,Tablet
b0918013-25be-420f-b133-a76fbedb3406,Standard Selling,1.41,USD,Nebulizer
7c61da9b-9c70-484f-8da7-ca9a45aa56f9,Standard Selling,1.46,USD,Tablet
ed9e55d8-eb78-4e2f-bc57-d5107ac1481c,Standard Selling,0.5,USD,Vial
d3916ced-81fa-455f-bac7-f0afed65d9b1,Standard Selling,1,USD,Vial
4bc64ce7-18a8-460a-9314-0f89e4ca2d0b,Standard Selling,0.5,USD,Tablet
8f04e3bf-60da-4e53-a577-f5fac65ec25e,Standard Selling,1,USD,Vial
e6f2566d-610f-4d78-a3d5-e086d6742c51,Standard Selling,0.5,USD,Nebulizer
1281857e-3426-4ca4-ae06-cd35cb4e0e01,Standard Selling,1,USD,Nebulizer
51717134-b03a-4951-9e67-9fc56a920a24,Standard Selling,0.9,USD,Vial
6a455315-51b3-41db-9e5d-ee03c2ad3cdb,Standard Selling,0.5,USD,Vial
2ddaae26-c352-4245-a1d5-b8884068d17b,Standard Selling,1,USD,Vial
f2736658-a69e-45e0-b289-e771ec86fc0c,Standard Selling,0.5,USD,Nebulizer
a116c770-3d2e-4139-b670-45e021fede4e,Standard Selling,1,USD,Tablet
3e804780-c538-4800-ab4d-da7f710dc4cd,Standard Selling,0.5,USD,Tablet
62e89330-c656-44dc-bcf9-a7c90111e8c3,Standard Selling,1,USD,Tablet
e2dc4a41-7f0b-44c7-ac3a-676939f176ef,Standard Selling,0.9,USD,Tube
a8b5bd1d-867a-4159-b585-13fe1bd59dce,Standard Selling,0.94,USD,Tablet
0e99b832-3cad-4039-bfb5-0c2f55906f8a,Standard Selling,0.99,USD,Vial
9e99eb20-5172-433a-ba7e-669b0f2af50b,Standard Selling,1.03,USD,Vial
a722710f-403b-451f-804b-09f8624b0838,Standard Selling,1.07,USD,Tablet
20e0d495-b906-405e-9cc7-1a18e14a5612,Standard Selling,1.11,USD,Tablet
8b8aceae-7a1e-49d1-823a-ae657ea4184f,Standard Selling,1.16,USD,Tablet
41acb9e7-5737-41fb-8931-746355fc0beb,Standard Selling,1.2,USD,Tablet
93ac42d5-b121-4e7c-9f80-37f50bcaff64,Standard Selling,1.24,USD,Tube
1a9438b3-0cfb-4bef-b4fc-dc4324bb4134,Standard Selling,1.29,USD,Tablet
fcc75458-0d8e-4921-b6a8-baf5a7e26d8e,Standard Selling,1.33,USD,Tablet
02005fc7-625e-40de-bfbe-872f85b48e07,Standard Selling,1.37,USD,Tube
19bf89f5-6f1b-4b11-82b7-686d619f5667,Standard Selling,1.41,USD,Tablet
8c855783-fc73-4b3a-a415-4ca6a2b9560e,Standard Selling,1.46,USD,Tablet
864df3a3-cbda-48d7-86fb-6059b6db713b,Standard Selling,0.5,USD,Tablet
d9d1d81a-ab7c-47f5-9dbc-f837b82b4a30,Standard Selling,1,USD,Tablet
bb8a1afa-9dbc-477d-93b3-411f03f742f7,Standard Selling,0.5,USD,Vial
40c49aab-41f0-4782-a1c7-88d190e4ffae,Standard Selling,1,USD,Tablet
a6bb9b34-7417-4602-b2c4-62f8559c0ef9,Standard Selling,0.5,USD,Tablet
28137a3d-215c-4b8f-bda1-ee13e5bb4bd5,Standard Selling,1,USD,Tablet
372d5752-dc7b-487e-b450-e7cdabacef50,Standard Selling,0.9,USD,Tablet
2976fb3e-a020-4a29-8424-878928607e01,Standard Selling,0.94,USD,Tablet
3e14295d-63f7-4876-8767-cf93f9c6ca68,Standard Selling,0.99,USD,Vial
b4abf73f-d647-49a7-9957-a16983d8b211,Standard Selling,1.03,USD,Tablet
8035131f-4346-481b-b746-84837e900781,Standard Selling,1.07,USD,Tablet
c76ca2a3-c70e-42cd-9618-500ebf3f2474,Standard Selling,1.11,USD,Tablet
8a9fdf80-2caa-407d-96a7-a5701a140e6a,Standard Selling,1.16,USD,Tablet
c259b78f-6dac-4749-a21f-935646bc3c0d,Standard Selling,1.2,USD,Tablet
efb8b933-04cc-4f2f-8499-94a8b7b58027,Standard Selling,1.24,USD,Tablet
22ce4524-954e-41c2-a995-91ef80cad806,Standard Selling,1.29,USD,Tablet
fb1509f8-0287-4111-a58c-e4f48fa6575d,Standard Selling,1.33,USD,Tablet
f32f7a3f-d27f-412d-a91c-d8d99fad464e,Standard Selling,1.37,USD,Tablet
f944281f-8655-4897-9fdb-6cc038d094f9,Standard Selling,1.41,USD,Vial
7a6c2021-7be0-46eb-bc03-b88b6d2f5ba6,Standard Selling,1.46,USD,Vial
ef56eef4-8be8-4c7b-af5b-38577d7b0e96,Standard Selling,0.5,USD,Tube
89e1bd4d-2d1e-4c1b-92ca-1d997943020d,Standard Selling,1,USD,Tablet
f6f88eca-f59c-4859-8a7a-d005a59691ce,Standard Selling,0.5,USD,Tablet
52b9f66b-cb47-487a-9452-00e036fe1dd8,Standard Selling,1,USD,Vial
6b8a0e60-09ee-4d93-b46a-3ab8cab22b29,Standard Selling,0.5,USD,Vial
1fb6be75-14f1-4171-af87-2a7fb223a806,Standard Selling,1,USD,Vial
85dc7fa9-2cbb-42ca-a7a8-244465f4f737,Standard Selling,0.5,USD,Vial
3e4dbab0-674c-4660-999c-09a67520451a,Standard Selling,1,USD,Tablet
9a0b84c9-6c80-4fc0-9764-43a870b2a432,Standard Selling,0.5,USD,Tube
f116a3d6-3019-4e7c-9a1f-42c681144a31,Standard Selling,1,USD,Tube
c15080cf-f142-46be-8dd3-7193958c4e93,Standard Selling,0.5,USD,Tablet
22e9616c-b0c0-4d3e-95e9-173750386d61,Standard Selling,1,USD,Tablet
23e8de30-5b3c-4371-a185-200556fa0951,Standard Selling,0.9,USD,Tablet
997f4df8-0cdd-47bc-ba71-a01c6bcd3b89,Standard Selling,0.94,USD,Tablet
ec734d5e-53c3-4d59-8c3a-3ce9c9360bc9,Standard Selling,0.99,USD,Tablet
9bab903e-6312-4c6a-95dc-149c86e752ad,Standard Selling,1.03,USD,Tablet
db08ac66-5b79-4e29-a799-6c9b76d3c40b,Standard Selling,1.07,USD,Tablet
7edcd7d4-ca9f-45f8-b591-bcf0985e7213,Standard Selling,1.11,USD,Tablet
cf76df0e-4571-4f7a-9a66-cb7122134077,Standard Selling,1.16,USD,Tablet
39c32716-b384-4dd8-84c7-324786e015b3,Standard Selling,1.2,USD,Tablet
d88a415d-1532-4d6e-9b47-b0264aa84485,Standard Selling,1.24,USD,Tube
92e5fe31-7eb4-4bdc-a245-e359715eee0e,Standard Selling,1.29,USD,Vial
5939e5cd-cc6e-470a-bd7d-d1353e9174be,Standard Selling,1.33,USD,Vial
9dcd95b2-afe2-4d51-8b88-17211966fd65,Standard Selling,1.37,USD,Tube
c6308b9c-00f1-476c-aa61-745bb26e0f71,Standard Selling,1.41,USD,Tablet
294c26b6-a5c8-454e-b9b7-16d103584b3d,Standard Selling,1.46,USD,Tablet
9a118208-e8a4-4af2-bb3a-f0bf02649e75,Standard Selling,0.5,USD,Tablet
d63618a1-258b-40e2-b46a-50130d9a4573,Standard Selling,1,USD,Tablet
b3540868-910d-456c-8cba-459f4b5fe9ff,Standard Selling,0.5,USD,Tablet
c36a8c91-0c4d-4be3-950b-f5f07428a816,Standard Selling,1,USD,Tablet
84945f45-3a3c-4d57-bc34-b474cf7ad612,Standard Selling,0.5,USD,Tablet
b73ac801-cf29-4e21-a2b2-a5288222d34c,Standard Selling,1,USD,Tablet
5a244df6-7cee-44da-89b0-f9bf732ffbed,Standard Selling,0.9,USD,Tablet
1baa0c9d-5c1b-4673-bc8b-732c556c7c68,Standard Selling,0.94,USD,Tablet
7a4861ec-81ab-4989-95b6-df5a9bd16651,Standard Selling,0.99,USD,Tablet
e61b5364-5d97-40bd-9557-a555f232fc43,Standard Selling,1.03,USD,Nebulizer
b8655f3b-ec83-418a-b767-54c053fbd743,Standard Selling,1.07,USD,Nebulizer
c9544877-0a60-462f-9b7c-c8bb57380831,Standard Selling,1.11,USD,Nebulizer
70e97a3d-0084-400a-aace-50b50dc04ed4,Standard Selling,1.16,USD,Nebulizer
e1a092b6-10f6-438e-aa6d-2b0d1059403e,Standard Selling,1.2,USD,Vial
bc56515a-cfb0-4dcd-a6e6-351e3bf1154c,Standard Selling,1.24,USD,Vial
cd228fc7-699d-4d47-a11f-9e72c8e940f1,Standard Selling,1.29,USD,Vial
88b343c0-a9e9-4b45-b57e-cc7014ab7f34,Standard Selling,1.33,USD,Vial
29050ed9-d91e-4ced-8d18-8d37f5d55be2,Standard Selling,1.37,USD,Tablet
9d3011b1-5be6-47b0-825b-851ad385c6d9,Standard Selling,1.41,USD,Vial
07a5d160-973c-422b-89db-9aeddd8d70a1,Standard Selling,1.46,USD,Tube
b7c41b8b-aa72-4749-9649-2684488a9406,Standard Selling,0.5,USD,Tablet
d6f041d9-cf9b-4208-87fa-355a4ef6fcaa,Standard Selling,1,USD,Tablet
3cff7277-8c40-40fe-bdee-79c04376447b,Standard Selling,0.5,USD,Tablet
1f00446e-7247-4c01-88b3-8ca215e29e23,Standard Selling,1,USD,Vial
2c9027fa-3723-491c-bbed-8989f0d4dabe,Standard Selling,0.5,USD,Vial
c6f97741-1f9c-4b25-8af1-dcf3fe720d7a,Standard Selling,1,USD,Tablet
cd280c73-ebfd-4213-8706-3ebce0019156,Standard Selling,0.9,USD,Nebulizer
e153441b-af4a-4fcf-aa7f-3bc2419520fa,Standard Selling,0.5,USD,Nebulizer
3ac7c011-1168-4eb6-b071-6ee11d1e2b24,Standard Selling,1,USD,Nebulizer
c5551705-ce62-4054-97e1-7eba697c0b77,Standard Selling,0.5,USD,Tablet
6bea54c9-97d5-4a9b-90fe-ee5ac2a9dd1c,Standard Selling,1,USD,Tablet
0ade342f-abe3-4195-bcf4-16e2b502da26,Standard Selling,0.5,USD,Nebulizer
9bb16770-8205-4360-b7e3-86d2d4cf08fb,Standard Selling,1,USD,Vial
2819e041-6657-4a27-8472-07563eb6038f,Standard Selling,0.9,USD,Vial
b89f03d9-a61b-4d4e-9636-5b28fdef4525,Standard Selling,0.94,USD,Tablet
b61b29d2-41ee-4079-8fbb-a054596b7ae1,Standard Selling,0.99,USD,Vial
b5b194a3-efc9-47b0-8406-db87092c23e2,Standard Selling,1.03,USD,Vial
4eb11496-3275-4087-ab5c-b1e4ea885e99,Standard Selling,1.07,USD,Tablet
123c4342-552a-4db9-bb0b-a7d0bd2e5849,Standard Selling,1.11,USD,Tablet
45aaf344-e567-4716-be52-4a7a642305c1,Standard Selling,1.16,USD,Vial
a74fe93c-b023-4159-8bd6-5d40a0909636,Standard Selling,1.2,USD,Tube
22269776-0866-4d7f-b4f6-901d31531f83,Standard Selling,1.24,USD,Tube
77addc86-5036-4a82-b722-826635e1ce0b,Standard Selling,1.29,USD,Container
37302e59-9824-4ec3-a8f7-6b491a5ee183,Standard Selling,1.33,USD,Tablet
7bf6328a-4194-484e-846f-a98bd41634e8,Standard Selling,1.37,USD,Vial
39a96958-781f-4d84-a9e8-56f6dfbf9061,Standard Selling,1.41,USD,Nebulizer
c3fb68d0-ba3d-4b94-bcb8-b2286d9b0358,Standard Selling,2,USD,Tablet
58a9f6d0-1092-4c9c-b195-fbd7e43b39dd,Standard Selling,0.5,USD,Vial
c91f7481-cb7b-40ad-92cc-e8f54534de29,Standard Selling,1,USD,Tablet
1eebc619-5593-44be-9057-041df86b06ae,Standard Selling,0.5,USD,Vial
d879219a-a74d-4a4a-a893-ebeb5594c629,Standard Selling,1,USD,Tablet
a0f54b5b-0eda-49aa-82be-3634df0de78f,Standard Selling,0.5,USD,Container
c3e48c79-8b02-4442-9480-8f656a353b89,Standard Selling,1,USD,Vial
8e89914e-560b-4ac1-851c-ffeb54cb677f,Standard Selling,0.9,USD,Vial
a42089dd-e91e-49a3-8c17-8571f2e5a404,Standard Selling,0.94,USD,Container
02dd2a8e-1a8f-49cb-bc06-daf9e1af16ba,Standard Selling,0.99,USD,Tablet
dae4050d-c309-4a20-a62e-e84d192e1e87,Standard Selling,1.03,USD,Tablet
2e2bf852-a920-41cd-bc27-65f1da248045,Standard Selling,1.07,USD,Tablet
4f93c00b-cf6e-48a1-b1da-ab3551915e25,Standard Selling,1.11,USD,Vial
c872abc2-47ed-4eb2-bd6e-b6dbf6d6a95f,Standard Selling,1.16,USD,Tube
3f9e7636-7443-45bf-a3fb-fd0530d3d43a,Standard Selling,1.2,USD,Vial
1d153d70-219e-4683-96c2-c1337a2eea85,Standard Selling,1.24,USD,Tube
1483054c-f2e7-499c-adf2-7c9a51ccc055,Standard Selling,1.29,USD,Tablet
368866e6-0b82-4049-8f10-9fc2bbf43066,Standard Selling,1.33,USD,Container
da1aafd5-78a3-4848-8057-63a424b0aead,Standard Selling,1.37,USD,Vial
588c4abc-3b4b-43c8-a55f-5e80b2c90f1e,Standard Selling,1.41,USD,Tablet
9b305550-beb8-4c7b-a800-caab72438430,Standard Selling,1.46,USD,Tablet
ee3e761a-3d43-4c51-98a3-cc2bd94946b6,Standard Selling,0.5,USD,Tablet
1a2354cb-3a85-4af9-8f36-d5146bda46a1,Standard Selling,1,USD,Tablet
ea44b958-6805-40ad-a6e3-7b67aa2fe0d1,Standard Selling,0.5,USD,Vial
1cd391d8-ed72-4c61-a203-faf40bee6921,Standard Selling,1,USD,Tablet
f0ab1781-bf08-4c5e-9b32-2d51e1d5a38c,Standard Selling,0.5,USD,Vial
eb4fedd3-154d-43f8-ad6c-d89930b1e175,Standard Selling,1,USD,Container
ec535874-98d9-463c-a12a-42fa070c2f22,Standard Selling,0.5,USD,Vial
3bc9e3a2-c85a-488b-b9a7-8e5fcafe2f81,Standard Selling,1,USD,Vial
f6438215-66a1-4e8f-a57a-b747981fd8f6,Standard Selling,0.5,USD,Vial
f8e266ec-24c9-4f64-89b0-33f1a052bd57,Standard Selling,1,USD,Vial
0e8496ea-c8f7-4f08-abef-994e3c3243a2,Standard Selling,0.5,USD,Tablet
2dca268b-fdb8-42f2-85eb-73a884c020ce,Standard Selling,1,USD,Container
7bedc809-05bd-4baf-bd4b-5a21d9e48a01,Standard Selling,0.9,USD,Tablet
2832337e-3ef1-47fa-8a46-2bc6e9910353,Standard Selling,0.94,USD,Container
62ee5947-bf62-4a42-8c07-0f939f766afe,Standard Selling,0.99,USD,Container
c6f2a3cb-b57f-4537-a179-ea0764d38690,Standard Selling,1.03,USD,Tablet
33558e37-627d-475f-b18f-5e5baf0ac0a6,Standard Selling,1.07,USD,Tablet
a377a5e6-0992-46c5-b5b0-5e3aafa27e16,Standard Selling,1.11,USD,Vial
3e3c72db-491c-4690-be8b-1f2528fa3266,Standard Selling,1.16,USD,Container
f3a1a212-12bc-43bd-b03f-73aeaac1379e,Standard Selling,1.2,USD,Container
38978734-0960-4c7d-bb1e-725532bc4c6a,Standard Selling,1.24,USD,Tablet
872c01c8-e9c9-478f-b2f6-87acf661ab6c,Standard Selling,1.29,USD,Container
cbbc7d55-db59-4ea3-9f3b-d3709b1bb82d,Standard Selling,1.33,USD,Tablet
74c26d25-3b98-4bf7-b962-3de028b352a7,Standard Selling,1.37,USD,Vial
2b05efc6-833d-4718-9e39-6aab785cbfce,Standard Selling,1.41,USD,Vial
114d5a9f-f369-4976-9eb7-1f78050c6a9b,Standard Selling,1.46,USD,Tablet
a67aaa3a-0e89-4bb7-abf0-54eb6edbecad,Standard Selling,0.5,USD,Vial
2f76266a-a841-4147-9401-c6b8409b8ccc,Standard Selling,1,USD,Tablet
824dcc1b-27b7-459c-8f41-026b3af8dbe4,Standard Selling,0.5,USD,Vial
