ID,Default Unit of Measure,Item Code,Item Group,Item Name
637499ff-1c54-4722-ba57-3e41b3d22a49,Tube,Permethrin,Drugs,Permethrin
47453ba1-85f2-4c78-b1c7-8b3c79e40df2,Tube,Zeasorb 2%,Drugs,Zeasorb 2%
2f6bc24e-bd9e-4520-a6ba-f999ef7cbafd,Tube,Tolnoftate 1%,Drugs,Tolnoftate 1%
f321c087-0a5b-48c1-a605-3954e6159b86,Vial,Xylocaine,Drugs,Xylocaine
63e5f917-ce97-47c4-8423-126bd798636e,Vial,Normal Saline 0.9%,Drugs,Normal Saline 0.9%
856c6ba9-201e-4022-a4b4-6d8aafeff7fd,Tablet,Dermadex 10mg,Drugs,Dermadex 10mg
60508974-752a-4960-b0be-f0e6aa6da64b,Tablet,Inderal 80mg,Drugs,Inderal 80mg
4e920e87-ac86-42ec-ab72-7b55d51e1a29,Tablet,Zestril 40mg,Drugs,Zestril 40mg
b6a421fd-50f2-4ed7-b687-23d985e42a50,Tablet,Glucotrol 10mg,Drugs,Glucotrol 10mg
ab1a18bd-926d-48f3-8006-16314952698b,Tablet,Glyburide 5mg,Drugs,Glyburide 5mg
54e1a064-172b-4d3c-ae8e-b78afb368c37,Tablet,Glyburide 3mg,Drugs,Glyburide 3mg
e79df49a-71a6-4169-952c-0225048cb482,Tablet,Glyburide 6mg,Drugs,Glyburide 6mg
8d883d65-9473-46ff-8b14-0ebe1f9a86da,Vial,Ceclor 125mg / 5ml,Drugs,Ceclor 125mg / 5ml
a20b435b-a8f8-4727-b2be-bcc5d2befd33,Vial,Rocephin 500mg,Drugs,Rocephin 500mg
91450143-ca6e-46fe-9fff-274be47521db,Tablet,Famvir 250mg,Drugs,Famvir 250mg
b9934447-70bb-4ef3-a65d-ff7cffe39025,Tablet,Levaquin 250mg,Drugs,Levaquin 250mg
b257beaf-a967-4822-8f78-9f87be045959,Tablet,Minocin 90mg,Drugs,Minocin 90mg
ca382f91-17b3-4b54-973e-8ccbdd89b8e1,Tablet,Cleocin 300mg,Drugs,Cleocin 300mg
9c38ea14-0972-46a9-9dac-76cafbb44971,Tablet,Cipro 250mg,Drugs,Cipro 250mg
03f18d86-ac0a-49a6-87bf-e022119301ad,Tablet,Cipro 500mg,Drugs,Cipro 500mg
83d98064-593f-4cf9-bec4-c427d4677f7d,Tablet,Biaxin 500mg,Drugs,Biaxin 500mg
45e91fa2-5458-4d2f-854b-11f08eb12801,Vial,Solu-Medrol 125mg / 5ml,Drugs,Solu-Medrol 125mg / 5ml
827f6978-a666-4c58-8218-7388fdcc6fa3,Vial,Visine 0.05%,Drugs,Visine 0.05%
247b17b0-8fe9-48de-a0f6-4b9a6f1caee8,Tablet,Allegra 60mg,Drugs,Allegra 60mg
14af1c0c-decd-41c0-ba07-95059f167ed2,Tablet,Allegra 180mg,Drugs,Allegra 180mg
3d215e2e-0560-4afc-9023-e1d1088bf484,Vial,Robitussin Adult 200mg / 5ml,Drugs,Robitussin Adult 200mg / 5ml
e42af6eb-e624-402e-bb26-ff2540a390d0,Nebulizer,Tudorza Pressair 400mcg,Drugs,Tudorza Pressair 400mcg
08128635-a443-42af-9b5d-32a2132cef06,Nebulizer,Pulmicort 90mcg,Drugs,Pulmicort 90mcg
931d1308-a72f-4f3a-a627-63d8b3c8c25d,Tablet,Malarone,Drugs,Malarone
b0918013-25be-420f-b133-a76fbedb3406,Nebulizer,Symbicort 160mcg + 4.5mcg,Drugs,Symbicort 160mcg + 4.5mcg
7c61da9b-9c70-484f-8da7-ca9a45aa56f9,Tablet,Ultracet 37.5mg + 325mg,Drugs,Ultracet 37.5mg + 325mg
ed9e55d8-eb78-4e2f-bc57-d5107ac1481c,Vial,Amoxicillin 125mg / 5ml,Drugs,Amoxicillin 125mg / 5ml
d3916ced-81fa-455f-bac7-f0afed65d9b1,Vial,Tobradex 0.3% + 0.1%,Drugs,Tobradex 0.3% + 0.1%
4bc64ce7-18a8-460a-9314-0f89e4ca2d0b,Tablet,Bactrim 160mg + 800mg,Drugs,Bactrim 160mg + 800mg
8f04e3bf-60da-4e53-a577-f5fac65ec25e,Vial,Augmentin 600mg + 42.9mg / 75ml,Drugs,Augmentin 600mg + 42.9mg / 75ml
e6f2566d-610f-4d78-a3d5-e086d6742c51,Nebulizer,Advair 500mg + 50mg,Drugs,Advair 500mg + 50mg
1281857e-3426-4ca4-ae06-cd35cb4e0e01,Nebulizer,Breo 80mg + 4.5mg,Drugs,Breo 80mg + 4.5mg
51717134-b03a-4951-9e67-9fc56a920a24,Vial,Hydrocortisone + Acetic Acid Otic,Drugs,Hydrocortisone + Acetic Acid Otic
6a455315-51b3-41db-9e5d-ee03c2ad3cdb,Vial,Augmentin 250mg + 62.5mg / 5ml,Drugs,Augmentin 250mg + 62.5mg / 5ml
2ddaae26-c352-4245-a1d5-b8884068d17b,Vial,Augmentin 600mg + 42.9mg / 125ml,Drugs,Augmentin 600mg + 42.9mg / 125ml
f2736658-a69e-45e0-b289-e771ec86fc0c,Nebulizer,Advair 250mg + 50mg,Drugs,Advair 250mg + 50mg
a116c770-3d2e-4139-b670-45e021fede4e,Tablet,Advil 400mg,Drugs,Advil 400mg
3e804780-c538-4800-ab4d-da7f710dc4cd,Tablet,Advil 600mg,Drugs,Advil 600mg
62e89330-c656-44dc-bcf9-a7c90111e8c3,Tablet,Albenza 200mg,Drugs,Albenza 200mg
e2dc4a41-7f0b-44c7-ac3a-676939f176ef,Tube,Alclometasone 0.05%,Drugs,Alclometasone 0.05%
a8b5bd1d-867a-4159-b585-13fe1bd59dce,Tablet,Amoxicillin 250mg,Drugs,Amoxicillin 250mg
0e99b832-3cad-4039-bfb5-0c2f55906f8a,Vial,Amoxicillin 250mg / 5ml,Drugs,Amoxicillin 250mg / 5ml
9e99eb20-5172-433a-ba7e-669b0f2af50b,Vial,Amoxicillin 400mg / 5ml,Drugs,Amoxicillin 400mg / 5ml
a722710f-403b-451f-804b-09f8624b0838,Tablet,Aspirin 162.5mg,Drugs,Aspirin 162.5mg
20e0d495-b906-405e-9cc7-1a18e14a5612,Tablet,Atenolol 100mg,Drugs,Atenolol 100mg
8b8aceae-7a1e-49d1-823a-ae657ea4184f,Tablet,Atenolol 25mg,Drugs,Atenolol 25mg
41acb9e7-5737-41fb-8931-746355fc0beb,Tablet,Atenolol 75mg,Drugs,Atenolol 75mg
93ac42d5-b121-4e7c-9f80-37f50bcaff64,Tube,Bacitracin 500U/g,Drugs,Bacitracin 500U/g
1a9438b3-0cfb-4bef-b4fc-dc4324bb4134,Tablet,Benadryl 25mg,Drugs,Benadryl 25mg
fcc75458-0d8e-4921-b6a8-baf5a7e26d8e,Tablet,Benadryl 50mg,Drugs,Benadryl 50mg
02005fc7-625e-40de-bfbe-872f85b48e07,Tube,Betamethasone 0.05%,Drugs,Betamethasone 0.05%
19bf89f5-6f1b-4b11-82b7-686d619f5667,Tablet,Biaxin 250mg,Drugs,Biaxin 250mg
8c855783-fc73-4b3a-a415-4ca6a2b9560e,Tablet,Captopril 12.5mg,Drugs,Captopril 12.5mg
864df3a3-cbda-48d7-86fb-6059b6db713b,Tablet,Captopril 25mg,Drugs,Captopril 25mg
d9d1d81a-ab7c-47f5-9dbc-f837b82b4a30,Tablet,Captopril 50mg,Drugs,Captopril 50mg
bb8a1afa-9dbc-477d-93b3-411f03f742f7,Vial,Ceclor 250mg / 5ml,Drugs,Ceclor 250mg / 5ml
40c49aab-41f0-4782-a1c7-88d190e4ffae,Tablet,Ceftin 125mg / 5ml,Drugs,Ceftin 125mg / 5ml
a6bb9b34-7417-4602-b2c4-62f8559c0ef9,Tablet,Chloroquine 250mg,Drugs,Chloroquine 250mg
28137a3d-215c-4b8f-bda1-ee13e5bb4bd5,Tablet,Chloroquine 500mg,Drugs,Chloroquine 500mg
372d5752-dc7b-487e-b450-e7cdabacef50,Tablet,Cipro 750mg,Drugs,Cipro 750mg
2976fb3e-a020-4a29-8424-878928607e01,Tablet,Claritin 10mg,Drugs,Claritin 10mg
3e14295d-63f7-4876-8767-cf93f9c6ca68,Vial,Claritin 5mg / 5ml,Drugs,Claritin 5mg / 5ml
b4abf73f-d647-49a7-9957-a16983d8b211,Tablet,Cleocin 150mg,Drugs,Cleocin 150mg
8035131f-4346-481b-b746-84837e900781,Tablet,Cleocin 450mg,Drugs,Cleocin 450mg
c76ca2a3-c70e-42cd-9618-500ebf3f2474,Tablet,Deltasone 10mg,Drugs,Deltasone 10mg
8a9fdf80-2caa-407d-96a7-a5701a140e6a,Tablet,Deltasone 20mg,Drugs,Deltasone 20mg
c259b78f-6dac-4749-a21f-935646bc3c0d,Tablet,Deltasone 40mg,Drugs,Deltasone 40mg
efb8b933-04cc-4f2f-8499-94a8b7b58027,Tablet,Deltasone 5mg,Drugs,Deltasone 5mg
22ce4524-954e-41c2-a995-91ef80cad806,Tablet,Diclofenac 50mg,Drugs,Diclofenac 50mg
fb1509f8-0287-4111-a58c-e4f48fa6575d,Tablet,Diflucan 100mg,Drugs,Diflucan 100mg
f32f7a3f-d27f-412d-a91c-d8d99fad464e,Tablet,Diflucan 150mg,Drugs,Diflucan 150mg
f944281f-8655-4897-9fdb-6cc038d094f9,Vial,Erythromycin 125mg / 5ml,Drugs,Erythromycin 125mg / 5ml
7a6c2021-7be0-46eb-bc03-b88b6d2f5ba6,Vial,Erythromycin 250mg / 5ml,Drugs,Erythromycin 250mg / 5ml
ef56eef4-8be8-4c7b-af5b-38577d7b0e96,Tube,Eucerin,Drugs,Eucerin
89e1bd4d-2d1e-4c1b-92ca-1d997943020d,Tablet,Flagyl 500mg,Drugs,Flagyl 500mg
f6f88eca-f59c-4859-8a7a-d005a59691ce,Tablet,Flexeril 10mg,Drugs,Flexeril 10mg
52b9f66b-cb47-487a-9452-00e036fe1dd8,Vial,Flonase 50mcg,Drugs,Flonase 50mcg
6b8a0e60-09ee-4d93-b46a-3ab8cab22b29,Vial,Gatorade,Drugs,Gatorade
1fb6be75-14f1-4171-af87-2a7fb223a806,Vial,Gentamicin 0.3%,Drugs,Gentamicin 0.3%
85dc7fa9-2cbb-42ca-a7a8-244465f4f737,Vial,Gentian Violet 1%,Drugs,Gentian Violet 1%
3e4dbab0-674c-4660-999c-09a67520451a,Tablet,HCTZ 12.5mg,Drugs,HCTZ 12.5mg
9a0b84c9-6c80-4fc0-9764-43a870b2a432,Tube,Hydrocortisone 1%,Drugs,Hydrocortisone 1%
f116a3d6-3019-4e7c-9a1f-42c681144a31,Tube,Hydrocortisone 2.5%,Drugs,Hydrocortisone 2.5%
c15080cf-f142-46be-8dd3-7193958c4e93,Tablet,Inderal IR 10mg,Drugs,Inderal IR 10mg
22e9616c-b0c0-4d3e-95e9-173750386d61,Tablet,Inderal IR 20mg,Drugs,Inderal IR 20mg
23e8de30-5b3c-4371-a185-200556fa0951,Tablet,Inderal IR 40mg,Drugs,Inderal IR 40mg
997f4df8-0cdd-47bc-ba71-a01c6bcd3b89,Tablet,Inderal IR 60mg,Drugs,Inderal IR 60mg
ec734d5e-53c3-4d59-8c3a-3ce9c9360bc9,Tablet,Iron IR 325mg,Drugs,Iron IR 325mg
9bab903e-6312-4c6a-95dc-149c86e752ad,Tablet,Lasix 10mg,Drugs,Lasix 10mg
db08ac66-5b79-4e29-a799-6c9b76d3c40b,Tablet,Lasix 40mg,Drugs,Lasix 40mg
7edcd7d4-ca9f-45f8-b591-bcf0985e7213,Tablet,Lasix 60mg,Drugs,Lasix 60mg
cf76df0e-4571-4f7a-9a66-cb7122134077,Tablet,Lasix 80mg,Drugs,Lasix 80mg
39c32716-b384-4dd8-84c7-324786e015b3,Tablet,Levaquin 500mg,Drugs,Levaquin 500mg
d88a415d-1532-4d6e-9b47-b0264aa84485,Tube,Metro-gel 0.75%,Drugs,Metro-gel 0.75%
92e5fe31-7eb4-4bdc-a245-e359715eee0e,Vial,Motrin Chilren's 100mg / 5ml,Drugs,Motrin Chilren's 100mg / 5ml
5939e5cd-cc6e-470a-bd7d-d1353e9174be,Vial,Motrin Infant's 50mg / 1.25ml,Drugs,Motrin Infant's 50mg / 1.25ml
9dcd95b2-afe2-4d51-8b88-17211966fd65,Tube,Neosporin,Drugs,Neosporin
c6308b9c-00f1-476c-aa61-745bb26e0f71,Tablet,Neurontin 300mg,Drugs,Neurontin 300mg
294c26b6-a5c8-454e-b9b7-16d103584b3d,Tablet,Neurontin 600mg,Drugs,Neurontin 600mg
9a118208-e8a4-4af2-bb3a-f0bf02649e75,Tablet,Neurontin 900mg,Drugs,Neurontin 900mg
d63618a1-258b-40e2-b46a-50130d9a4573,Tablet,Norvasc 2.5mg,Drugs,Norvasc 2.5mg
b3540868-910d-456c-8cba-459f4b5fe9ff,Tablet,Pepcid 20mg,Drugs,Pepcid 20mg
c36a8c91-0c4d-4be3-950b-f5f07428a816,Tablet,Pepcid 40mg,Drugs,Pepcid 40mg
84945f45-3a3c-4d57-bc34-b474cf7ad612,Tablet,Prevacid 15mg,Drugs,Prevacid 15mg
b73ac801-cf29-4e21-a2b2-a5288222d34c,Tablet,Prevacid 30mg,Drugs,Prevacid 30mg
5a244df6-7cee-44da-89b0-f9bf732ffbed,Tablet,Proscar 1mg,Drugs,Proscar 1mg
1baa0c9d-5c1b-4673-bc8b-732c556c7c68,Tablet,Proscar 5mg,Drugs,Proscar 5mg
7a4861ec-81ab-4989-95b6-df5a9bd16651,Tablet,Protonix 40mg,Drugs,Protonix 40mg
e61b5364-5d97-40bd-9557-a555f232fc43,Nebulizer,Proventil 200mcg,Drugs,Proventil 200mcg
b8655f3b-ec83-418a-b767-54c053fbd743,Nebulizer,Proventil 400mcg,Drugs,Proventil 400mcg
c9544877-0a60-462f-9b7c-c8bb57380831,Nebulizer,Pulmicort Flexhaler 180mcg,Drugs,Pulmicort Flexhaler 180mcg
70e97a3d-0084-400a-aace-50b50dc04ed4,Nebulizer,Pulmicort Flexhaler 360mcg,Drugs,Pulmicort Flexhaler 360mcg
e1a092b6-10f6-438e-aa6d-2b0d1059403e,Vial,Rocephin 2g,Drugs,Rocephin 2g
bc56515a-cfb0-4dcd-a6e6-351e3bf1154c,Vial,Saline flush 0.9%,Drugs,Saline flush 0.9%
cd228fc7-699d-4d47-a11f-9e72c8e940f1,Vial,Spiriva HandiHaler 18mcg,Drugs,Spiriva HandiHaler 18mcg
88b343c0-a9e9-4b45-b57e-cc7014ab7f34,Vial,Sulfacetamide 0.1,Drugs,Sulfacetamide 0.1
29050ed9-d91e-4ced-8d18-8d37f5d55be2,Tablet,Tylenol 500mg,Drugs,Tylenol 500mg
9d3011b1-5be6-47b0-825b-851ad385c6d9,Vial,Tylenol Chilren's 160mg / 5ml,Drugs,Tylenol Chilren's 160mg / 5ml
07a5d160-973c-422b-89db-9aeddd8d70a1,Tube,Voltaren 1%,Drugs,Voltaren 1%
b7c41b8b-aa72-4749-9649-2684488a9406,Tablet,Zestril 10mg,Drugs,Zestril 10mg
d6f041d9-cf9b-4208-87fa-355a4ef6fcaa,Tablet,Zofran 8mg,Drugs,Zofran 8mg
